Parent	Type	Child	Weight	Probability	Score
x_g10	+	x_g6	0.076364	0.250345	0.024308
x_g11	+	x_g6	0.018983	0.093219	0.002250
x_g1	+	x_g7	0.111691	0.143447	0.020372
x_g2	-	x_g7	-0.034396	0.043341	-0.001895
x_g3	-	x_g7	-0.040352	0.025397	-0.001303
x_g4	-	x_g7	-0.038884	0.011580	-0.000573
x_g5	-	x_g7	-0.095781	0.069133	-0.008419
x_g6	-	x_g7	-0.137545	0.143721	-0.025135
x_g7	+	x_g7	0.010368	0.002086	0.000028
x_g8	-	x_g7	-0.028764	0.197563	-0.007226
x_g9	+	x_g7	0.090295	0.235255	0.027010
x_g10	-	x_g7	-0.191897	0.513021	-0.125176
x_g11	-	x_g7	-0.326007	0.998828	-0.414031
x_g1	-	x_g8	-0.010483	0.104422	-0.001392
x_g2	-	x_g8	-0.005671	0.056663	-0.000409
x_g3	+	x_g8	0.008620	0.073654	0.000807
x_g4	-	x_g8	-0.003635	0.008694	-0.000040
x_g5	-	x_g8	-0.006230	0.020351	-0.000161
x_g6	-	x_g8	-0.001051	0.003004	-0.000004
x_g7	-	x_g8	-0.003812	0.006420	-0.000031
x_g8	+	x_g8	0.173292	1.000000	0.220341
x_g9	+	x_g8	0.181600	1.000000	0.230904
x_g10	+	x_g8	0.198627	1.000000	0.252554
x_g11	+	x_g8	0.051759	0.999118	0.065753
x_g1	-	x_g9	-0.012704	0.029249	-0.000472
x_g2	+	x_g9	0.007245	0.126669	0.001167
x_g3	+	x_g9	0.015360	0.414684	0.008099
x_g4	+	x_g9	0.006402	0.027206	0.000221
x_g5	+	x_g9	0.004425	0.013044	0.000073
x_g6	-	x_g9	-0.004748	0.009710	-0.000059
x_g7	+	x_g9	0.000508	0.001909	0.000001
x_g8	+	x_g9	0.206474	1.000000	0.262531
x_g9	+	x_g9	0.224133	1.000000	0.284985
x_g10	+	x_g9	0.266963	1.000000	0.339443
x_g11	+	x_g9	0.078120	0.996601	0.098992
x_g1	-	x_g10	-0.004632	0.069492	-0.000409
x_g2	+	x_g10	0.015558	0.178576	0.003533
x_g3	+	x_g10	0.018251	0.317810	0.007375
x_g4	+	x_g10	0.001824	0.005259	0.000012
x_g5	+	x_g10	0.003688	0.008785	0.000041
x_g6	+	x_g10	0.001386	0.003285	0.000006
x_g7	+	x_g10	0.005932	0.018538	0.000140
x_g8	+	x_g10	0.212550	1.000000	0.270257
x_g9	+	x_g10	0.217197	1.000000	0.276166
x_g10	+	x_g10	0.248829	1.000000	0.316386
x_g11	+	x_g10	0.067341	0.999999	0.085624
x_g1	-	x_g11	-0.027839	0.097206	-0.003441
x_g2	-	x_g11	-0.081096	0.810324	-0.083555
x_g3	-	x_g11	-0.026481	0.079959	-0.002692
x_g4	-	x_g11	-0.009153	0.007449	-0.000087
x_g5	+	x_g11	0.006490	0.005293	0.000044
x_g6	+	x_g11	0.023566	0.036254	0.001086
x_g7	-	x_g11	-0.053416	0.189820	-0.012892
x_g8	+	x_g11	0.315566	1.000000	0.401243
x_g9	+	x_g11	0.243607	1.000000	0.309746
x_g10	+	x_g11	0.140548	0.996881	0.178150
x_g11	+	x_g11	0.448847	1.000000	0.570709
