Gene,StateA,StateB
g1,cell_406,cell_465
g5,cell_409,cell_59
g1,cell_409,cell_185
g4,cell_409,cell_1740
g2,cell_427,cell_31
g6,cell_427,cell_243
g8,cell_427,cell_436
g1,cell_434,cell_250
g8,cell_434,cell_310
g7,cell_434,cell_476
g4,cell_434,cell_830
g2,cell_434,cell_1054
g4,cell_436,cell_6
g2,cell_436,cell_144
g8,cell_436,cell_427
g5,cell_436,cell_509
g7,cell_436,cell_791
g3,cell_436,cell_1101
g6,cell_436,cell_1154
g1,cell_436,cell_1225
g6,cell_440,cell_29
g7,cell_440,cell_108
g4,cell_440,cell_185
g5,cell_440,cell_406
g8,cell_440,cell_1626
g1,cell_440,cell_1740
g6,cell_451,cell_36
g7,cell_451,cell_55
g4,cell_451,cell_101
g8,cell_451,cell_239
g3,cell_451,cell_250
g5,cell_451,cell_359
g2,cell_451,cell_1836
g8,cell_453,cell_231
g3,cell_453,cell_406
g4,cell_453,cell_1352
g4,cell_465,cell_59
g7,cell_465,cell_146
g8,cell_465,cell_371
g1,cell_465,cell_406
g6,cell_465,cell_623
g5,cell_465,cell_1740
g4,cell_476,cell_54
g8,cell_476,cell_123
g2,cell_476,cell_279
g3,cell_476,cell_322
g7,cell_476,cell_434
g5,cell_476,cell_725
g1,cell_476,cell_1974
g4,cell_480,cell_36
g6,cell_480,cell_101
g5,cell_480,cell_319
g3,cell_480,cell_339
g7,cell_480,cell_517
g8,cell_480,cell_575
g1,cell_480,cell_687
g5,cell_482,cell_96
g6,cell_482,cell_146
g8,cell_482,cell_339
g1,cell_482,cell_483
g4,cell_482,cell_503
g3,cell_482,cell_575
g7,cell_482,cell_623
g6,cell_483,cell_1
g7,cell_483,cell_66
g4,cell_483,cell_76
g5,cell_483,cell_222
g1,cell_483,cell_482
g8,cell_483,cell_599
g7,cell_503,cell_73
g1,cell_503,cell_76
g8,cell_503,cell_135
g5,cell_503,cell_376
g4,cell_503,cell_482
g6,cell_503,cell_1042
g3,cell_503,cell_1184
g7,cell_509,cell_199
g6,cell_509,cell_225
g2,cell_509,cell_343
g5,cell_509,cell_436
g4,cell_509,cell_547
g6,cell_517,cell_274
g5,cell_517,cell_282
g4,cell_517,cell_343
g8,cell_517,cell_401
g7,cell_517,cell_480
g2,cell_517,cell_547
g1,cell_517,cell_1561
g3,cell_517,cell_1931
g5,cell_547,cell_6
g4,cell_547,cell_509
g2,cell_547,cell_517
g6,cell_547,cell_588
g6,cell_556,cell_200
g5,cell_556,cell_239
g8,cell_556,cell_359
g4,cell_556,cell_647
g8,cell_557,cell_73
g7,cell_557,cell_135
g3,cell_557,cell_343
g5,cell_557,cell_1546
g4,cell_557,cell_1931
g6,cell_557,cell_1974
g7,cell_575,cell_401
g8,cell_575,cell_480
g3,cell_575,cell_482
g5,cell_575,cell_751
g4,cell_575,cell_1184
g6,cell_575,cell_1453
g7,cell_582,cell_187
g3,cell_582,cell_194
g6,cell_582,cell_369
g4,cell_582,cell_624
g1,cell_582,cell_1605
g7,cell_588,cell_58
g4,cell_588,cell_225
g2,cell_588,cell_274
g5,cell_588,cell_290
g6,cell_588,cell_547
g1,cell_588,cell_912
g6,cell_594,cell_19
g4,cell_594,cell_108
g7,cell_594,cell_185
g5,cell_594,cell_310
g1,cell_599,cell_339
g8,cell_599,cell_483
g3,cell_599,cell_687
g6,cell_599,cell_830
g7,cell_599,cell_1231
g5,cell_599,cell_1311
g5,cell_623,cell_46
g1,cell_623,cell_66
g4,cell_623,cell_73
g3,cell_623,cell_401
g6,cell_623,cell_465
g7,cell_623,cell_482
g8,cell_623,cell_1931
g6,cell_624,cell_266
g1,cell_624,cell_319
g7,cell_624,cell_344
g4,cell_624,cell_582
g5,cell_624,cell_687
g3,cell_624,cell_1311
g8,cell_632,cell_96
g4,cell_632,cell_175
g3,cell_632,cell_319
g5,cell_632,cell_339
g1,cell_632,cell_1311
g6,cell_632,cell_1475
g7,cell_632,cell_1941
g3,cell_647,cell_212
g7,cell_647,cell_365
g8,cell_647,cell_375
g4,cell_647,cell_556
g6,cell_647,cell_751
g1,cell_647,cell_1048
g5,cell_647,cell_1453
g1,cell_680,cell_209
g5,cell_680,cell_231
g2,cell_680,cell_254
g7,cell_680,cell_266
g6,cell_680,cell_344
g3,cell_680,cell_1626
g1,cell_687,cell_480
g3,cell_687,cell_599
g5,cell_687,cell_624
g7,cell_687,cell_1561
g8,cell_691,cell_108
g3,cell_691,cell_266
g5,cell_691,cell_830
g6,cell_691,cell_1311
g1,cell_691,cell_1475
g7,cell_691,cell_1626
g6,cell_725,cell_102
g8,cell_725,cell_185
g5,cell_725,cell_476
g2,cell_725,cell_758
g4,cell_725,cell_1626
g3,cell_751,cell_96
g4,cell_751,cell_200
g8,cell_751,cell_319
g5,cell_751,cell_575
g6,cell_751,cell_647
g4,cell_758,cell_143
g5,cell_758,cell_279
g2,cell_758,cell_725
g3,cell_758,cell_810
g1,cell_758,cell_947
g7,cell_765,cell_248
g2,cell_765,cell_830
g4,cell_765,cell_1054
g5,cell_791,cell_199
g6,cell_791,cell_289
g7,cell_791,cell_436
g4,cell_791,cell_1339
g2,cell_791,cell_1605
g3,cell_791,cell_1762
g4,cell_810,cell_254
g3,cell_810,cell_758
g5,cell_810,cell_984
g7,cell_810,cell_1136
g1,cell_810,cell_1154
g6,cell_810,cell_1225
g8,cell_830,cell_1
g7,cell_830,cell_54
g4,cell_830,cell_434
g6,cell_830,cell_599
g5,cell_830,cell_691
g2,cell_830,cell_765
g2,cell_912,cell_231
g3,cell_912,cell_248
g5,cell_912,cell_254
g1,cell_912,cell_588
g4,cell_912,cell_984
g1,cell_947,cell_758
g6,cell_947,cell_1101
g3,cell_947,cell_1154
g7,cell_984,cell_74
g1,cell_984,cell_225
g3,cell_984,cell_279
g2,cell_984,cell_322
g5,cell_984,cell_810
g4,cell_984,cell_912
g7,cell_1042,cell_59
g4,cell_1042,cell_146
g3,cell_1042,cell_239
g8,cell_1042,cell_250
g1,cell_1042,cell_310
g6,cell_1042,cell_503
g3,cell_1048,cell_108
g8,cell_1048,cell_266
g1,cell_1048,cell_647
g3,cell_1054,cell_74
g7,cell_1054,cell_279
g2,cell_1054,cell_434
g4,cell_1054,cell_765
g4,cell_1101,cell_98
g3,cell_1101,cell_436
g6,cell_1101,cell_947
g2,cell_1101,cell_1546
g7,cell_1101,cell_1762
g5,cell_1136,cell_74
g1,cell_1136,cell_289
g2,cell_1136,cell_369
g7,cell_1136,cell_810
g5,cell_1146,cell_187
g6,cell_1146,cell_322
g1,cell_1146,cell_343
g4,cell_1146,cell_1561
g2,cell_1154,cell_188
g5,cell_1154,cell_225
g8,cell_1154,cell_243
g7,cell_1154,cell_289
g4,cell_1154,cell_290
g6,cell_1154,cell_436
g1,cell_1154,cell_810
g3,cell_1154,cell_947
g8,cell_1184,cell_36
g5,cell_1184,cell_200
g6,cell_1184,cell_239
g7,cell_1184,cell_280
g3,cell_1184,cell_503
g4,cell_1184,cell_575
g2,cell_1225,cell_187
g1,cell_1225,cell_436
g6,cell_1225,cell_810
g8,cell_1229,cell_29
g4,cell_1229,cell_102
g3,cell_1229,cell_344
g5,cell_1229,cell_1231
g7,cell_1229,cell_1311
g6,cell_1229,cell_1626
g1,cell_1229,cell_1941
g6,cell_1231,cell_54
g8,cell_1231,cell_66
g2,cell_1231,cell_278
g7,cell_1231,cell_599
g5,cell_1231,cell_1229
g3,cell_1231,cell_1561
g1,cell_1231,cell_1931
g4,cell_1311,cell_194
g8,cell_1311,cell_222
g5,cell_1311,cell_599
g3,cell_1311,cell_624
g1,cell_1311,cell_632
g6,cell_1311,cell_691
g7,cell_1311,cell_1229
g7,cell_1339,cell_6
g2,cell_1339,cell_319
g4,cell_1339,cell_791
g3,cell_1352,cell_123
g1,cell_1352,cell_291
g8,cell_1352,cell_322
g4,cell_1352,cell_453
g8,cell_1444,cell_225
g5,cell_1444,cell_243
g2,cell_1444,cell_291
g8,cell_1453,cell_101
g3,cell_1453,cell_146
g4,cell_1453,cell_239
g6,cell_1453,cell_575
g5,cell_1453,cell_647
g7,cell_1475,cell_183
g8,cell_1475,cell_212
g3,cell_1475,cell_375
g6,cell_1475,cell_632
g1,cell_1475,cell_691
g2,cell_1531,cell_339
g1,cell_1546,cell_102
g3,cell_1546,cell_144
g7,cell_1546,cell_175
g5,cell_1546,cell_557
g2,cell_1546,cell_1101
g4,cell_1546,cell_1941
g6,cell_1561,cell_231
g5,cell_1561,cell_344
g1,cell_1561,cell_517
g7,cell_1561,cell_687
g4,cell_1561,cell_1146
g3,cell_1561,cell_1231
g5,cell_1605,cell_36
g7,cell_1605,cell_144
g3,cell_1605,cell_175
g8,cell_1605,cell_200
g4,cell_1605,cell_319
g6,cell_1605,cell_359
g1,cell_1605,cell_582
g2,cell_1605,cell_791
g5,cell_1626,cell_54
g2,cell_1626,cell_143
g1,cell_1626,cell_183
g8,cell_1626,cell_440
g3,cell_1626,cell_680
g7,cell_1626,cell_691
g4,cell_1626,cell_725
g6,cell_1626,cell_1229
g6,cell_1740,cell_46
g8,cell_1740,cell_183
g7,cell_1740,cell_212
g3,cell_1740,cell_365
g4,cell_1740,cell_409
g1,cell_1740,cell_440
g5,cell_1740,cell_465
g2,cell_1762,cell_175
g3,cell_1762,cell_791
g7,cell_1762,cell_1101
g4,cell_1836,cell_58
g1,cell_1836,cell_74
g6,cell_1836,cell_199
g7,cell_1836,cell_225
g5,cell_1836,cell_289
g2,cell_1836,cell_451
g7,cell_1931,cell_339
g6,cell_1931,cell_371
g3,cell_1931,cell_517
g4,cell_1931,cell_557
g8,cell_1931,cell_623
g1,cell_1931,cell_1231
g5,cell_1931,cell_1941
g8,cell_1941,cell_46
g2,cell_1941,cell_98
g6,cell_1941,cell_183
g3,cell_1941,cell_282
g7,cell_1941,cell_632
g1,cell_1941,cell_1229
g4,cell_1941,cell_1546
g5,cell_1941,cell_1931
g3,cell_1974,cell_55
g8,cell_1974,cell_59
g7,cell_1974,cell_250
g4,cell_1974,cell_371
g1,cell_1974,cell_476
g6,cell_1974,cell_557
