,pseudotime2
cell_378,0.40580723
cell_379,0.53492314
cell_382,0.33030516
cell_384,0.43927437
cell_388,0.24466379
cell_390,0.3244504
cell_394,0.45015517
cell_396,0.51856136
cell_397,0.26007894
cell_399,0.48923934
cell_400,0.41989574
cell_401,0.6117798
cell_409,0.61393845
cell_412,0.4166344
cell_413,0.6318826
cell_415,0.43145877
cell_419,0.47204012
cell_420,0.55345184
cell_421,0.5762004
cell_424,0.5017289
cell_425,0.49835485
cell_429,0.5468045
cell_430,0.37171063
cell_431,0.23964734
cell_435,0.35109168
cell_436,0.47510362
cell_438,0.61494476
cell_440,0.5635091
cell_445,0.6803389
cell_446,0.24660543
cell_447,0.2568688
cell_448,0.6020635
cell_451,0.5855939
cell_453,0.23605096
cell_454,0.57295585
cell_457,0.32036388
cell_458,0.3939354
cell_460,0.56019795
cell_463,0.24134023
cell_466,0.6118237
cell_470,0.41696942
cell_473,0.54815
cell_485,0.55466026
cell_488,0.5697743
cell_490,0.4491908
cell_495,0.59141
cell_496,0.48352566
cell_498,0.67523134
cell_504,0.24599905
cell_505,0.62991565
cell_506,0.24921644
cell_511,0.56351435
cell_512,0.65124744
cell_520,0.18475711
cell_523,0.32205495
cell_525,0.6163032
cell_528,0.26036662
cell_530,0.60047233
cell_531,0.4392327
cell_536,0.43091762
cell_543,0.47981432
cell_546,0.33794317
cell_547,0.47032097
cell_548,0.43918157
cell_551,0.74586874
cell_563,0.47867677
cell_566,0.5053112
cell_573,0.24451222
cell_574,0.35407692
cell_575,0.2257724
cell_579,0.6021382
cell_590,0.40192795
cell_595,0.58175504
cell_601,0.46453577
cell_602,0.2768232
cell_603,0.48545492
cell_604,0.34056133
cell_605,0.62820107
cell_606,0.4074307
cell_607,0.4652071
cell_612,0.59810805
cell_613,0.3979886
cell_615,0.6154424
cell_616,0.60031843
cell_620,0.42562163
cell_621,0.57224786
cell_623,0.57400984
cell_626,0.31299853
cell_627,0.44718537
cell_630,0.60111606
cell_634,0.56235826
cell_635,0.31755573
cell_636,0.26930755
cell_643,0.43889537
cell_644,0.24426165
cell_647,0.53821874
cell_653,0.27065858
cell_657,0.24837033
cell_660,0.39693725
cell_662,0.46014956
cell_665,0.63756377
cell_670,0.439051
cell_673,0.495867
cell_674,0.60080975
cell_675,0.39011112
cell_678,0.49972013
cell_679,0.6476492
cell_685,0.4347503
cell_689,0.22774243
cell_691,0.28997838
cell_692,0.46304393
cell_693,0.4570777
cell_694,0.37177932
cell_697,0.4478955
cell_698,0.67794186
cell_700,0.61160797
cell_701,0.4951613
cell_704,0.3141192
cell_710,0.2515511
cell_716,0.33908972
cell_720,0.27129313
cell_725,0.2526927
cell_727,0.41589874
cell_734,0.5123616
cell_738,0.516816
cell_741,0.5111376
cell_743,0.546222
cell_744,0.5853506
cell_751,0.546327
cell_752,0.47644165
cell_753,0.50630206
cell_756,0.2507516
cell_760,0.3443325
cell_761,0.6101943
cell_764,0.69668174
cell_766,0.60545826
cell_767,0.43692714
cell_770,0.59450096
cell_776,0.31356585
cell_777,0.24716698
cell_783,0.6374669
cell_789,0.45255762
cell_793,0.5080919
cell_795,0.6906936
cell_798,0.5914924
cell_808,0.4355273
cell_809,0.24349986
cell_813,0.44065955
cell_815,0.28207532
cell_816,0.48451298
cell_817,0.46149108
cell_823,0.41096738
cell_825,0.4306874
cell_826,0.24750377
cell_828,0.24822146
cell_838,0.4541951
cell_839,0.27375302
cell_847,0.65175664
cell_849,0.6829436
cell_856,0.62629783
cell_858,0.45798564
cell_861,0.44608563
cell_864,0.65821403
cell_865,0.23102303
cell_868,0.31496918
cell_874,0.47002685
cell_876,0.43641093
cell_881,0.55431676
cell_884,0.620584
cell_888,0.36814758
cell_895,0.6009189
cell_899,0.6217328
cell_902,0.37397727
cell_904,0.6176771
cell_905,0.33049628
cell_911,0.47872877
cell_920,0.29282254
cell_925,0.32866704
cell_927,0.33425653
cell_928,0.55131704
cell_937,0.6193046
cell_942,0.5633989
cell_947,0.31760502
cell_953,0.51279956
cell_954,0.3680354
cell_957,0.5931131
cell_960,0.47382846
cell_964,0.41130027
cell_965,0.4186443
cell_966,0.6220192
cell_967,0.6143562
cell_969,0.43736693
cell_970,0.6319739
cell_971,0.26992774
cell_973,0.41909242
cell_976,0.63385165
cell_978,0.5756939
cell_981,0.25236478
cell_986,0.67081344
cell_996,0.7163117
cell_1001,0.32822472
cell_1004,0.6096402
cell_1006,0.48852625
cell_1011,0.5745159
cell_1016,0.42539853
cell_1024,0.22769234
cell_1025,0.21507584
cell_1033,0.31892318
cell_1036,0.23944733
cell_1038,0.46127337
cell_1042,0.4278587
cell_1044,0.4645647
cell_1045,0.23969805
cell_1046,0.5497618
cell_1048,0.49921945
cell_1050,0.3522241
cell_1053,0.5283476
cell_1058,0.28269815
cell_1061,0.6285788
cell_1062,0.28319883
cell_1069,0.62437135
cell_1070,0.53546685
cell_1072,0.38510418
cell_1074,0.47375607
cell_1081,0.2519962
cell_1085,0.44020307
cell_1086,0.42469633
cell_1087,0.59711957
cell_1091,0.40249744
cell_1093,0.6020595
cell_1102,0.47730193
cell_1115,0.4283888
cell_1117,0.43810067
cell_1123,0.46755165
cell_1129,0.66739213
cell_1131,0.3190127
cell_1135,0.6764379
cell_1137,0.24573787
cell_1139,0.27642795
cell_1144,0.42975864
cell_1148,0.5892423
cell_1153,0.3992603
cell_1159,0.25414905
cell_1161,0.44696856
cell_1164,0.6271454
cell_1165,0.37104443
cell_1166,0.2506611
cell_1167,0.41558912
cell_1170,0.43858784
cell_1171,0.26800278
cell_1173,0.4743051
cell_1176,0.25758237
cell_1179,0.42986017
cell_1180,0.50415176
cell_1185,0.43507898
cell_1187,0.24611835
cell_1191,0.48160765
cell_1202,0.4309979
cell_1203,0.66419977
cell_1206,0.3326348
cell_1208,0.24246682
cell_1216,0.32239085
cell_1218,0.49102423
cell_1221,0.37394336
cell_1225,0.38582698
cell_1227,0.45677128
cell_1228,0.5614114
cell_1229,0.27666622
cell_1231,0.4316621
cell_1232,0.6405799
cell_1235,0.61593163
cell_1238,0.30925748
cell_1247,0.5766814
cell_1248,0.26049364
cell_1249,0.33393988
cell_1251,0.4096452
cell_1253,0.46393546
cell_1255,0.46857372
cell_1256,0.44347823
cell_1258,0.404509
cell_1259,0.6422305
cell_1262,0.27017608
cell_1263,0.6176414
cell_1267,0.40969932
cell_1268,0.58360094
cell_1271,0.48884138
cell_1278,0.31976452
cell_1279,0.4728211
cell_1282,0.4646108
cell_1284,0.25029254
cell_1287,0.6968993
cell_1291,0.3326952
cell_1293,0.54991126
cell_1298,0.24151185
cell_1299,0.60728896
cell_1302,0.6241447
cell_1303,0.33294848
cell_1308,0.36031055
cell_1313,0.29283726
cell_1324,0.24152915
cell_1330,0.5105861
cell_1331,0.41307235
cell_1333,0.39301977
cell_1334,0.59613025
cell_1340,0.44387063
cell_1346,0.24690345
cell_1348,0.24946244
cell_1352,0.6545266
cell_1359,0.3055394
cell_1360,0.28228426
cell_1361,0.39065057
cell_1362,0.37580442
cell_1363,0.2862294
cell_1365,0.54051
cell_1369,0.6434981
cell_1373,0.5615887
cell_1378,0.62670964
cell_1385,0.36803752
cell_1388,0.47986284
cell_1389,0.2612354
cell_1391,0.7150178
cell_1392,0.61744833
cell_1397,0.56399494
cell_1401,0.46071386
cell_1402,0.5857105
cell_1403,0.45130736
cell_1405,0.48684722
cell_1407,0.64802784
cell_1408,0.27454838
cell_1412,0.34721702
cell_1424,0.41740385
cell_1425,0.57143956
cell_1428,0.48940447
cell_1429,0.5937655
cell_1430,0.72471035
cell_1435,0.4947342
cell_1439,0.440744
cell_1440,0.4440242
cell_1443,0.3501527
cell_1448,0.36373615
cell_1449,0.5153389
cell_1450,0.42157966
cell_1454,0.4455382
cell_1458,0.423827
cell_1460,0.3413579
cell_1461,0.26658472
cell_1466,0.3654967
cell_1467,0.28714365
cell_1475,0.34416008
cell_1478,0.29262367
cell_1480,0.6637159
cell_1482,0.28592524
cell_1489,0.5892805
cell_1498,0.23708113
cell_1501,0.5855283
cell_1507,0.23866642
cell_1509,0.4357514
cell_1511,0.70349103
cell_1516,0.47706178
cell_1518,0.42534944
cell_1530,0.5915355
cell_1533,0.4735198
cell_1537,0.22265714
cell_1539,0.24399409
cell_1543,0.4000165
cell_1547,0.41329873
cell_1550,0.5565479
cell_1552,0.68734014
cell_1553,0.4679982
cell_1554,0.2997223
cell_1561,0.55747503
cell_1563,0.6590496
cell_1565,0.45477554
cell_1575,0.32983223
cell_1576,0.5478456
cell_1584,0.39464268
cell_1586,0.4658791
cell_1587,0.34635258
cell_1588,0.49427426
cell_1589,0.41888285
cell_1590,0.25036404
cell_1596,0.7312233
cell_1599,0.5128765
cell_1605,0.6317765
cell_1608,0.6071336
cell_1614,0.26334104
cell_1616,0.6127876
cell_1618,0.33810493
cell_1619,0.33413696
cell_1624,0.23363595
cell_1626,0.34841135
cell_1627,0.33319548
cell_1628,0.4774593
cell_1629,0.4806227
cell_1634,0.48807433
cell_1636,0.463508
cell_1638,0.6360357
cell_1644,0.24592371
cell_1645,0.52887046
cell_1646,0.6698693
cell_1647,0.6191404
cell_1651,0.64247954
cell_1653,0.64088076
cell_1655,0.4395566
cell_1661,0.39742362
cell_1667,0.3605555
cell_1670,0.34269196
cell_1673,0.2647954
cell_1675,0.49492326
cell_1683,0.63119984
cell_1692,0.44495848
cell_1695,0.49976248
cell_1699,0.5760859
cell_1701,0.455169
cell_1708,0.2752808
cell_1709,0.62565786
cell_1711,0.56304306
cell_1712,0.32455054
cell_1713,0.4707911
cell_1715,0.45379254
cell_1717,0.44064087
cell_1719,0.427879
cell_1724,0.36637852
cell_1725,0.62720495
cell_1726,0.24026987
cell_1729,0.59117335
cell_1730,0.45614496
cell_1732,0.3346657
cell_1733,0.21438633
cell_1734,0.6207455
cell_1735,0.5406976
cell_1741,0.33231887
cell_1743,0.4996496
cell_1745,0.57921445
cell_1747,0.2676876
cell_1748,0.30874202
cell_1750,0.6378586
cell_1760,0.47000036
cell_1763,0.4569112
cell_1768,0.45734403
cell_1769,0.4749791
cell_1771,0.26255688
cell_1772,0.33734494
cell_1774,0.6496963
cell_1780,0.34817427
cell_1781,0.37492654
cell_1783,0.61768776
cell_1788,0.6351958
cell_1790,0.33261883
cell_1793,0.41957408
cell_1798,0.58318335
cell_1800,0.39289764
cell_1805,0.46884668
cell_1807,0.6728821
cell_1812,0.53423065
cell_1815,0.25496605
cell_1818,0.37553817
cell_1823,0.2535533
cell_1829,0.3382849
cell_1831,0.42036542
cell_1836,0.5915416
cell_1837,0.24952115
cell_1838,0.71751523
cell_1839,0.35089564
cell_1844,0.31451404
cell_1846,0.45279032
cell_1850,0.2541803
cell_1851,0.48463598
cell_1852,0.5534325
cell_1853,0.27147186
cell_1863,0.61486197
cell_1864,0.3182523
cell_1867,0.4461852
cell_1873,0.5502765
cell_1877,0.28416386
cell_1878,0.6288546
cell_1887,0.6136094
cell_1888,0.3609286
cell_1892,0.59919375
cell_1893,0.33621773
cell_1898,0.5325509
cell_1902,0.4507951
cell_1906,0.6122165
cell_1908,0.25566188
cell_1909,0.555982
cell_1913,0.39595667
cell_1914,0.24053335
cell_1916,0.5594013
cell_1918,0.62003285
cell_1921,0.49211445
cell_1923,0.7026583
cell_1925,0.49617374
cell_1926,0.45886672
cell_1928,0.5180907
cell_1929,0.6123848
cell_1932,0.6492724
cell_1942,0.6767011
cell_1944,0.3879901
cell_1947,0.58866835
cell_1953,0.3216373
cell_1954,0.5841547
cell_1961,0.511505
cell_1968,0.35560575
cell_1969,0.67268324
cell_1971,0.21529189
cell_1976,0.47148275
cell_1977,0.27241686
cell_1980,0.48603845
cell_1981,0.50004256
cell_1983,0.59894997
cell_1991,0.53311986
cell_1995,0.34818164
cell_1999,0.48017442
