,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
cell_1299,False,False,True,True,False,False,False,True,True,True,False
cell_1302,False,False,True,False,True,False,True,True,True,True,False
cell_1308,True,False,True,False,False,False,True,True,False,False,True
cell_1324,True,False,True,False,True,False,True,False,False,True,False
cell_1334,True,False,False,False,False,False,False,True,True,True,True
cell_1359,True,False,True,True,True,False,True,True,False,False,True
cell_1363,True,False,False,True,True,False,True,True,False,False,False
cell_1397,True,False,False,False,False,False,True,True,True,True,False
cell_1405,True,True,True,False,True,False,False,True,True,False,False
cell_1408,True,True,True,True,False,True,False,False,False,False,False
cell_1412,True,False,False,True,True,True,True,True,False,False,False
cell_1424,True,True,False,False,True,True,False,True,False,False,True
cell_1428,True,False,True,False,True,False,True,True,True,False,False
cell_1448,True,False,True,True,True,True,False,True,False,False,False
cell_1450,True,True,False,True,False,True,True,True,True,False,True
cell_1454,True,True,False,False,True,True,True,True,True,False,False
cell_1458,False,False,False,True,True,False,True,True,True,False,True
cell_1518,True,False,False,True,False,False,True,True,True,False,False
cell_1530,True,True,False,False,False,True,False,True,True,True,False
cell_1537,True,True,True,False,True,True,True,False,False,False,False
cell_1539,True,True,False,True,True,True,True,False,False,False,False
cell_1543,True,True,False,False,False,True,True,True,False,False,True
cell_1552,False,True,False,True,True,False,False,True,True,True,True
cell_1554,True,False,True,True,False,True,False,True,False,True,False
cell_1561,True,True,False,True,False,False,True,True,True,True,False
cell_1584,True,True,True,False,False,False,True,True,False,False,True
cell_1590,True,True,True,True,True,True,True,False,False,False,True
cell_1608,True,False,False,False,True,False,False,True,True,True,True
cell_1618,True,True,False,True,True,False,True,True,False,False,False
cell_1619,True,False,False,True,False,True,False,False,False,False,False
cell_1627,True,True,False,True,True,True,False,True,False,False,False
cell_1629,True,True,False,True,True,False,True,True,True,True,True
cell_1634,True,False,False,True,True,True,False,True,True,True,False
cell_1647,False,False,False,True,False,True,True,True,True,True,False
cell_1655,True,True,True,True,True,True,True,True,True,False,False
cell_1667,True,True,True,True,False,False,True,True,False,False,False
cell_1695,True,True,True,False,False,False,False,True,True,False,False
cell_1708,True,True,True,False,True,True,True,True,False,True,True
cell_1709,False,False,True,True,True,True,False,True,True,True,False
cell_1711,True,True,False,False,False,False,True,True,True,True,True
cell_1713,True,True,True,True,True,False,True,True,True,False,False
cell_1715,True,True,True,False,True,False,False,True,True,False,True
cell_1719,True,True,False,True,False,False,True,True,True,True,True
cell_1729,False,True,False,False,True,False,True,True,True,True,False
cell_1741,True,True,False,True,False,True,False,False,False,False,True
cell_1745,True,True,True,False,False,False,True,True,True,True,True
cell_1760,True,True,True,False,True,True,True,True,True,False,False
cell_1774,False,False,False,True,True,True,False,True,True,True,True
cell_1783,False,False,True,False,True,True,False,True,True,True,False
cell_1788,False,True,True,True,True,False,True,True,True,True,True
cell_1807,False,True,True,True,False,False,False,True,True,True,True
cell_1815,True,True,True,False,True,True,True,False,False,True,True
cell_1818,True,True,True,True,False,True,False,True,False,True,False
cell_1836,True,False,False,False,False,True,False,True,True,True,False
cell_1844,True,True,True,True,True,True,True,True,False,False,True
cell_1850,True,True,True,False,True,False,True,False,False,True,False
cell_1851,True,True,False,True,True,True,False,True,True,False,True
cell_1852,True,True,True,False,True,True,True,True,True,True,False
cell_1853,True,True,True,False,True,False,True,True,False,True,True
cell_1864,True,False,False,True,True,False,True,True,False,False,True
cell_1867,True,False,False,True,False,True,True,True,True,False,False
cell_1888,True,False,False,True,False,False,True,True,False,False,True
cell_1909,True,False,True,True,False,False,False,True,True,True,True
cell_1913,True,False,False,False,True,True,True,True,True,False,False
cell_1918,False,False,False,False,True,False,True,True,True,True,False
cell_1925,True,True,False,False,True,False,True,True,True,True,False
cell_1926,True,True,False,False,False,True,False,True,True,False,False
cell_1929,True,False,True,False,True,False,False,True,True,True,True
cell_1977,True,False,False,False,True,False,True,True,False,True,False
cell_1983,False,True,True,False,False,True,False,True,True,True,False
cell_1999,True,True,False,True,True,False,True,True,True,False,False
