,Time
cell_497,0.049638797
cell_501,0.10286814
cell_503,0.07303241
cell_509,0.18112575
cell_512,0.11055512
cell_513,0.14941034
cell_517,0.17481789
cell_527,0.059750397000000004
cell_529,0.057886846
cell_534,0.078516796
cell_547,0.19927426
cell_550,0.18528803
cell_551,0.16776977
cell_554,0.06685424599999999
cell_556,0.175991
cell_557,0.049583692
cell_559,0.076440156
cell_562,0.0919327
cell_563,0.1540839
cell_565,0.14391310000000002
cell_571,0.045903745999999995
cell_573,0.2043244
cell_575,0.1674243
cell_576,0.13461655
cell_579,0.14820199
cell_582,0.16791242
cell_588,0.22387409
cell_591,0.09974751
cell_594,0.070707515
cell_599,0.036059852999999996
cell_600,0.08130757
cell_601,0.038688146
cell_603,0.08216137
cell_606,0.14424093
cell_607,0.17988148
cell_608,0.08466551
cell_618,0.21138306
cell_620,0.12323834
cell_622,0.03433169
cell_623,0.053940084000000006
cell_624,0.18420692
cell_627,0.16455442
cell_632,0.021791212
cell_635,0.1894526
cell_647,0.07509028
cell_650,0.15392934
cell_666,0.046308514
cell_667,0.17061049
cell_670,0.07071634
cell_672,0.15429801
cell_680,0.15512112
cell_681,0.11438952
cell_687,0.20390293
cell_688,0.19192335
cell_691,0.07413112
cell_695,0.1901654
cell_697,0.11587489
cell_699,0.04514197
cell_700,0.041603595
cell_705,0.055882264
cell_707,0.22442986
cell_708,0.052381694000000006
cell_710,0.12911199999999998
cell_716,0.0643833
cell_722,0.045256093
cell_723,0.08636028
cell_725,0.07928247
cell_727,0.054933775
cell_728,0.032751784
cell_732,0.07385869
cell_735,0.16032656
cell_736,0.15910885
cell_740,0.043334153
cell_741,0.1295217
cell_744,0.08853848
cell_751,0.1851181
cell_755,0.05932618
cell_758,0.09776389999999999
cell_763,0.12991227
cell_765,0.07609005
cell_767,0.10646766
cell_771,0.094530545
cell_772,0.08905715
cell_773,0.056734614
cell_774,0.17774065
cell_784,0.02888517
cell_786,0.037213244
cell_788,0.094503336
cell_791,0.15024884
cell_792,0.038265254
cell_794,0.036969185
cell_799,0.06702769
cell_803,0.16045451
cell_808,0.15188643
cell_810,0.25117510000000004
cell_812,0.1243767
cell_822,0.18194906
cell_830,0.016076691
cell_833,0.06402986
cell_842,0.09744861
cell_854,0.036518775
cell_861,0.011289017
cell_874,0.11305366
cell_877,0.09012036
cell_879,0.046846035999999994
cell_881,0.20078501
cell_892,0.11622173
cell_894,0.15113705
cell_911,0.06788424
cell_912,0.37930107
cell_928,0.034883074
cell_932,0.11727195
cell_933,0.032010662999999995
cell_939,0.19744329
cell_943,0.17650582
cell_947,0.253803
cell_951,0.02138881
cell_952,0.08122371
cell_958,0.03865176
cell_964,0.13156332
cell_967,0.0697044
cell_968,0.15315364
cell_976,0.1529681
cell_982,0.15464781
cell_984,0.2898929
cell_990,0.034749463
cell_991,0.18420978
cell_997,0.04334097
cell_1011,0.02361475
cell_1017,0.19409482
cell_1020,0.15776351
cell_1022,0.08621797
cell_1023,0.040971953
cell_1026,0.050882496
cell_1031,0.062638246
cell_1032,0.043637548
cell_1034,0.04270985
cell_1036,0.17586793
cell_1039,0.034339372
cell_1042,0.11205029999999999
cell_1045,0.048278384
cell_1048,0.22584182
cell_1052,0.19840601
cell_1054,0.084343314
cell_1055,0.08946724
cell_1060,0.0
cell_1061,0.15424019
cell_1079,0.11269388
cell_1087,0.041644413
cell_1088,0.057725724000000006
cell_1101,0.09033519
cell_1103,0.027928498
cell_1108,0.18157947
cell_1111,0.040094435
cell_1116,0.16840352
cell_1120,0.18660727
cell_1121,0.06798964
cell_1123,0.054625925
cell_1124,0.045798346
cell_1125,0.11735088
cell_1126,0.14596595
cell_1136,0.34651196
cell_1138,0.16749881
cell_1144,0.29905468
cell_1145,0.16290192
cell_1146,0.061401524000000006
cell_1154,0.18847159
cell_1155,0.03970768
cell_1158,0.043130445999999996
cell_1164,0.07514909
cell_1167,0.025391142999999998
cell_1169,0.03269353
cell_1170,0.17434199
cell_1177,0.19975267
cell_1178,0.06325742599999999
cell_1180,0.1698838
cell_1184,0.15742746
cell_1185,0.09946436
cell_1186,0.06274454
cell_1191,0.30900317
cell_1203,0.076940306
cell_1205,0.037130687
cell_1208,0.19609177
cell_1214,0.19015056
cell_1215,0.03421665
cell_1220,0.04052582
cell_1225,0.25508776
cell_1227,0.06979083
cell_1229,0.06141252
cell_1231,0.018436183999999998
cell_1232,0.063173115
cell_1239,0.19190583
cell_1240,0.04822168
cell_1243,0.1263498
cell_1245,0.17840488
cell_1247,0.16577083
cell_1249,0.17091663
cell_1254,0.14936307
cell_1257,0.05845113
cell_1258,0.044105947
cell_1260,0.062211342
cell_1261,0.18617013
cell_1266,0.15057397
cell_1273,0.05623038
cell_1276,0.07577576
cell_1278,0.11742315
cell_1279,0.060720902
cell_1280,0.14364299
cell_1281,0.18648916
cell_1285,0.049787164
cell_1287,0.056762528
cell_1289,0.07291934
cell_1291,0.039214242
cell_1293,0.073311426
cell_1296,0.268912
cell_1299,0.3243836
cell_1309,0.09577323
cell_1311,0.05057323
cell_1328,0.046788685
cell_1333,0.03931049
cell_1334,0.17397842
cell_1337,0.036995858
cell_1339,0.107530415
cell_1340,0.094249606
cell_1345,0.17198218
cell_1346,0.1999545
cell_1350,0.121405706
cell_1351,0.16584805
cell_1352,0.09553727
cell_1358,0.06541323
cell_1360,0.05895897
cell_1361,0.1494894
cell_1362,0.15583229999999998
cell_1377,0.07991429
cell_1380,0.14135838
cell_1381,0.18438858
cell_1386,0.104440786
cell_1389,0.14705141
cell_1404,0.24640848
cell_1406,0.05227026
cell_1407,0.07674692
cell_1414,0.04745955
cell_1417,0.046666745
cell_1419,0.060323115
cell_1424,0.027993381
cell_1429,0.031898882
cell_1430,0.038018987000000004
cell_1434,0.03273648
cell_1440,0.0922328
cell_1444,0.11622734
cell_1449,0.18759969
cell_1453,0.17137750000000002
cell_1463,0.101972975
cell_1466,0.18973935
cell_1469,0.042969923
cell_1472,0.10203237
cell_1475,0.058296747999999995
cell_1487,0.2243956
cell_1491,0.08920037
cell_1496,0.038224455
cell_1504,0.07290258
cell_1507,0.027930063999999998
cell_1509,0.26230797
cell_1510,0.030590298
cell_1511,0.087739445
cell_1513,0.12635025
cell_1524,0.17930336
cell_1526,0.060072444
cell_1531,0.03833007
cell_1532,0.051731102
cell_1538,0.06281526400000001
cell_1539,0.19145313
cell_1540,0.14814971
cell_1542,0.15102313
cell_1546,0.061105084000000004
cell_1551,0.08516306400000001
cell_1555,0.027840672
cell_1559,0.09301531
cell_1561,0.10108895
cell_1564,0.16858320000000002
cell_1575,0.018352893999999998
cell_1579,0.16636279
cell_1589,0.029836684
cell_1593,0.1535788
cell_1594,0.042195775
cell_1598,0.033308987000000005
cell_1599,0.08885969
cell_1600,0.04628629
cell_1603,0.0385439
cell_1604,0.051323943
cell_1605,0.19296762
cell_1608,0.15757205
cell_1610,0.12901664
cell_1614,0.13542314
cell_1618,0.036833186000000004
cell_1620,0.035433955
cell_1626,0.08488692
cell_1627,0.27517325
cell_1629,0.0764247
cell_1632,0.18529549
cell_1635,0.17782144
cell_1637,0.07169429
cell_1646,0.17084739999999998
cell_1649,0.036590494
cell_1651,0.19369042
cell_1652,0.041460738
cell_1653,0.08900818
cell_1663,0.19052164
cell_1670,0.18953037
cell_1672,0.15994678
cell_1675,0.09222364400000001
cell_1680,0.055529214
cell_1686,0.047435116
cell_1693,0.18620089
cell_1694,0.12540604
cell_1700,0.1677705
cell_1703,0.18331528
cell_1705,0.2437098
cell_1708,0.17050362
cell_1709,0.04346413
cell_1714,0.037720095
cell_1721,0.032544896000000004
cell_1724,0.16411065
cell_1731,0.25190333
cell_1734,0.13438436
cell_1740,0.10613568
cell_1746,0.08163543
cell_1760,0.144488
cell_1762,0.14948292
cell_1763,0.04897957
cell_1765,0.14065431
cell_1767,0.16529682
cell_1769,0.18175611
cell_1781,0.15463449
cell_1782,0.051004473
cell_1787,0.04691117
cell_1794,0.09829494
cell_1795,0.038224485
cell_1801,0.085985065
cell_1805,0.12854137
cell_1808,0.16378196
cell_1810,0.1306028
cell_1813,0.22429691
cell_1817,0.05134602
cell_1823,0.048651274
cell_1828,0.1877107
cell_1836,0.18775487
cell_1839,0.14713134
cell_1840,0.017556675
cell_1842,0.16889362
cell_1844,0.16458087
cell_1852,0.19027306
cell_1854,0.04944269
cell_1855,0.089006424
cell_1861,0.12588039
cell_1865,0.021900617999999997
cell_1866,0.19161406
cell_1873,0.06581519
cell_1874,0.17285962
cell_1876,0.13211657
cell_1878,0.15385233
cell_1882,0.17762132
cell_1883,0.06843207
cell_1886,0.17183691
cell_1891,0.16405368
cell_1895,0.11773676
cell_1898,0.08462284
cell_1901,0.045343722999999996
cell_1905,0.027728805
cell_1909,0.16713096
cell_1918,0.072388
cell_1923,0.044591144000000006
cell_1924,0.17578569
cell_1926,0.15902022
cell_1927,0.15916707
cell_1930,0.050663717000000004
cell_1931,0.067211606
cell_1939,0.15609466
cell_1940,0.03650563
cell_1941,0.07492873
cell_1948,0.06887703
cell_1949,0.04279052
cell_1951,0.03310071
cell_1954,0.15636142
cell_1965,0.12936406
cell_1970,0.06668885
cell_1974,0.050319437
cell_1983,0.12324667
cell_1985,0.18517138
cell_1986,0.101193585
cell_1994,0.18634905
cell_1995,0.14593926
cell_1997,0.09142994
