,pseudotime0
cell_260,0.08418698
cell_262,0.03983137
cell_265,0.08248363
cell_266,0.050901856
cell_267,0.048036132
cell_269,0.031818558
cell_273,0.2134881
cell_274,0.016436858
cell_275,0.020788807
cell_277,0.046721987
cell_278,0.06058043
cell_280,0.06697237
cell_282,0.055929873
cell_283,0.19289583
cell_284,0.06986033
cell_288,0.05784382
cell_292,0.02269743
cell_296,0.034638904
cell_301,0.031847876
cell_305,0.029286668
cell_306,0.008321204
cell_307,0.17011684
cell_309,0.028023776
cell_310,0.043966725
cell_312,0.22349955
cell_315,0.050696548
cell_317,0.0846247
cell_318,0.0059817187
cell_319,0.21229877
cell_324,0.18511973
cell_330,0.12806599
cell_332,0.053939402
cell_337,0.18528786
cell_338,0.033615515
cell_345,0.0786813
cell_347,0.14789885
cell_350,0.047872834
cell_353,0.01537619
cell_354,0.1697497
cell_355,0.21298131
cell_356,0.056531917
cell_357,0.05344939
cell_358,0.019625958
cell_359,0.2084569
cell_370,0.13210785
cell_372,0.016579509
cell_376,0.02747199
cell_377,0.20168346
cell_380,0.048941746
cell_381,0.12144422
cell_386,0.0586316
cell_387,0.049970135
cell_389,0.004414194
cell_395,0.17274778
cell_403,0.18059069
cell_406,0.11921298
cell_407,0.060697902
cell_411,0.012953393
cell_414,0.21538745
cell_416,0.076382026
cell_417,0.13339692
cell_422,0.05936979
cell_423,0.066311456
cell_426,0.054724466
cell_428,0.072166555
cell_432,0.13147114
cell_434,0.05522084
cell_437,0.056813296
cell_439,0.01890912
cell_441,0.20535995
cell_450,0.18961965
cell_452,0.17300285
cell_462,0.18187214
cell_464,0.049880188
cell_465,0.058020618
cell_468,0.16591467
cell_471,0.16689579
cell_475,0.19411227
cell_477,0.05112364
cell_478,0.16788276
cell_479,0.01641743
cell_481,0.014426074
cell_482,0.037732445
cell_486,0.09457505
cell_487,0.055232193
cell_493,0.031364497
cell_494,0.065213546
cell_497,0.12385561
cell_501,0.015964037
cell_503,0.068753086
cell_507,0.051497295
cell_510,0.031723317
cell_513,0.028320262
cell_514,0.18946554
cell_515,0.038297866
cell_518,0.047332294
cell_522,0.16953695
cell_524,0.16694655
cell_526,0.027016567
cell_527,0.03386612
cell_532,0.068619445
cell_533,0.059857823
cell_535,0.11862196
cell_537,0.20892233
cell_538,0.056690715
cell_539,0.07872839
cell_540,0.08015273
cell_541,0.05262685
cell_542,0.029488994
cell_544,0.16188599
cell_545,0.08867227
cell_549,0.07836913
cell_552,0.16037816
cell_554,0.15131187
cell_560,0.21741866
cell_561,0.06902383
cell_564,0.046466693
cell_567,0.1129545
cell_569,0.011807905
cell_571,0.024622235
cell_581,0.027562514
cell_582,0.0170828
cell_586,0.19926298
cell_588,0.123004824
cell_591,0.12279915
cell_592,0.049300574
cell_593,0.021885432
cell_597,0.015746173
cell_608,0.17726426
cell_609,0.055123296
cell_614,0.011586152
cell_619,0.022689657
cell_622,0.20207061
cell_628,0.013169491
cell_631,0.21134706
cell_637,0.03628363
cell_638,0.05496027
cell_639,0.022663953
cell_640,0.07323522
cell_641,0.095304206
cell_642,0.20167044
cell_646,0.0643327
cell_650,0.0051964754
cell_651,0.055317134
cell_652,0.07245791
cell_655,0.11150569
cell_656,0.12280497
cell_659,0.025215099
cell_666,0.12734292
cell_668,0.16251299
cell_671,0.047893334
cell_672,0.032767
cell_677,0.12849508
cell_681,0.027020305
cell_682,0.21018955
cell_684,0.073210575
cell_686,0.038405936
cell_687,0.054650176
cell_696,0.2067802
cell_705,0.15862133
cell_706,0.04568428
cell_707,0.055527102
cell_708,0.040276933
cell_709,0.024281232
cell_711,0.04878464
cell_714,0.19208288
cell_717,0.17883198
cell_718,0.06299851
cell_719,0.017441612
cell_721,0.071711406
cell_723,0.11644855
cell_724,0.120237425
cell_736,0.016836148
cell_742,0.09038527
cell_745,0.045591973
cell_746,0.024445007
cell_749,0.045417894
cell_750,0.16782673
cell_754,0.017186575
cell_757,0.21704501
cell_758,0.041597806
cell_759,0.09787257
cell_762,0.056777455
cell_765,0.036804423
cell_769,0.060317416
cell_771,0.027308255
cell_773,0.05364181
cell_775,0.053450022
cell_778,0.019494515
cell_782,0.17959408
cell_785,0.084540635
cell_786,0.01297747
cell_790,0.047649097
cell_794,0.17220733
cell_801,0.07041739
cell_802,0.030876307
cell_803,0.041766528
cell_804,0.19023629
cell_805,0.02962212
cell_806,0.050786696
cell_807,0.052096296
cell_810,0.018599465
cell_812,0.12096843
cell_814,0.04891666
cell_820,0.05150327
cell_821,0.21235813
cell_822,0.08668057
cell_827,0.054769613
cell_829,0.06246708
cell_835,0.076552264
cell_837,0.055305712
cell_840,0.014821184
cell_841,0.06761207
cell_842,0.012570256
cell_845,0.0328524
cell_850,0.16650163
cell_851,0.061590526
cell_855,0.16886616
cell_857,0.029132584
cell_859,0.050135564
cell_860,0.09453539
cell_863,0.06553765
cell_867,0.12646234
cell_870,0.064671025
cell_871,0.041190427
cell_872,0.13974093
cell_873,0.016362
cell_875,0.06159345
cell_877,0.16689497
cell_879,0.06043508
cell_886,0.028681321
cell_890,0.06004849
cell_891,0.15307797
cell_892,0.21082276
cell_897,0.054007884
cell_898,0.023896398
cell_900,0.16394952
cell_901,0.042754464
cell_903,0.22429569
cell_910,0.17275989
cell_912,0.04951447
cell_913,0.053564914
cell_914,0.027764507
cell_915,0.024668533
cell_917,0.06959588
cell_918,0.11389279
cell_924,0.06937038
cell_926,0.054532252
cell_930,0.0452988
cell_934,0.15877609
cell_935,0.21802728
cell_936,0.093254864
cell_938,0.13185282
cell_939,0.05393443
cell_940,0.19355956
cell_943,0.0480228
cell_944,0.1331223
cell_949,0.11400742
cell_951,0.01568771
cell_952,0.13051468
cell_962,0.051402252
cell_968,0.21761554
cell_972,0.17994916
cell_974,0.023493642
cell_975,0.026822735
cell_977,0.05897737
cell_980,0.16375087
cell_983,0.033914216
cell_984,0.06418513
cell_985,0.12800528
cell_991,0.154144
cell_993,0.17110682
cell_995,0.17421871
cell_997,0.11153114
cell_998,0.2123498
cell_999,0.021569734
cell_1000,0.0071307197
cell_1002,0.15513317
cell_1003,0.07877065
cell_1005,0.01744176
cell_1008,0.032253608
cell_1009,0.04886532
cell_1010,0.20623945
cell_1013,0.04087866
cell_1014,0.050156686
cell_1017,0.12638849
cell_1018,0.050300036
cell_1019,0.2086958
cell_1021,0.082275964
cell_1022,0.04861272
cell_1028,0.029031957
cell_1029,0.05182541
cell_1032,0.1656941
cell_1037,0.05508417
cell_1039,0.05637732
cell_1041,0.14487012
cell_1043,0.14373755
cell_1047,0.0
cell_1052,0.21359272
cell_1056,0.03817885
cell_1057,0.15635568
cell_1060,0.10585935
cell_1063,0.06758421
cell_1065,0.081433795
cell_1066,0.21957187
cell_1073,0.046651524
cell_1075,0.069045395
cell_1076,0.20826909
cell_1078,0.034612454
cell_1079,0.074300244
cell_1082,0.039709806
cell_1083,0.021081885
cell_1088,0.058046225
cell_1092,0.035513375
cell_1094,0.109426335
cell_1095,0.16693965
cell_1096,0.054894395
cell_1097,0.06261595
cell_1099,0.12653142
cell_1100,0.13701482
cell_1101,0.02359967
cell_1104,0.060168132
cell_1107,0.12452351
cell_1109,0.06452941
cell_1112,0.03788263
cell_1114,0.06254975
cell_1121,0.12144612
cell_1122,0.22549433
cell_1124,0.22783561
cell_1125,0.08429599
cell_1126,0.07908728
cell_1128,0.13009524
cell_1130,0.15433626
cell_1134,0.024933344
cell_1142,0.109856635
cell_1143,0.1762881
cell_1145,0.05223133
cell_1146,0.061848268
cell_1147,0.21024142
cell_1150,0.027718507
cell_1152,0.04675599
cell_1155,0.008577472
cell_1157,0.16811395
cell_1163,0.20302886
cell_1168,0.048388213
cell_1174,0.09350983
cell_1175,0.015180527
cell_1182,0.12785202
cell_1184,0.07145579
cell_1188,0.043471873
cell_1190,0.18917716
cell_1192,0.19600652
cell_1195,0.213161
cell_1198,0.037090134
cell_1199,0.07267132
cell_1200,0.06542475
cell_1201,0.21401459
cell_1204,0.052976996
cell_1205,0.066769965
cell_1211,0.070778504
cell_1212,0.0072900504
cell_1213,0.0489982
cell_1215,0.005651266
cell_1217,0.026973275
cell_1219,0.041874986
cell_1234,0.0217161
cell_1237,0.057095617
cell_1240,0.029177198
cell_1241,0.07150751
cell_1242,0.04856552
cell_1244,0.12135738
cell_1250,0.031320643
cell_1252,0.03757623
cell_1254,0.026522353
cell_1257,0.036832795
cell_1261,0.20912434
cell_1265,0.17246252
cell_1266,0.17671373
cell_1270,0.040629636
cell_1272,0.06443122
cell_1274,0.13061006
cell_1280,0.012900768
cell_1281,0.1244646
cell_1283,0.047393937
cell_1285,0.038974874
cell_1288,0.087259844
cell_1289,0.049859814
cell_1290,0.18194397
cell_1292,0.03949319
cell_1294,0.060998857
cell_1295,0.06749454
cell_1297,0.026982037
cell_1300,0.018573618
cell_1306,0.026926719
cell_1309,0.016933937
cell_1314,0.19525377
cell_1315,0.051477507
cell_1316,0.038496245
cell_1318,0.20555504
cell_1321,0.014616684
cell_1322,0.018016469
cell_1323,0.05100115
cell_1327,0.23155878
cell_1329,0.071364805
cell_1336,0.14367332
cell_1337,0.03839104
cell_1341,0.02952752
cell_1342,0.017699331
cell_1345,0.22371179
cell_1347,0.16643776
cell_1349,0.19847907
cell_1350,0.17062266
cell_1351,0.057990532
cell_1353,0.18415974
cell_1355,0.068247326
cell_1356,0.15679057
cell_1358,0.15083559
cell_1364,0.19405577
cell_1366,0.021051627
cell_1367,0.15595089
cell_1368,0.16110158
cell_1371,0.056224037
cell_1372,0.026791383
cell_1379,0.01526701
cell_1380,0.16116616
cell_1382,0.12692142
cell_1383,0.018715201
cell_1386,0.07949858
cell_1387,0.040307146
cell_1393,0.06200049
cell_1394,0.056625836
cell_1395,0.054245237
cell_1396,0.01773093
cell_1399,0.1217309
cell_1400,0.084540635
cell_1404,0.22260307
cell_1406,0.12344155
cell_1411,0.21337382
cell_1417,0.049411785
cell_1426,0.04069654
cell_1431,0.15887095
cell_1432,0.06086839
cell_1436,0.08831238
cell_1438,0.052172046
cell_1441,0.05142899
cell_1445,0.18324272
cell_1446,0.19220327
cell_1451,0.18202913
cell_1452,0.051751465
cell_1457,0.19001892
cell_1459,0.088370316
cell_1464,0.0045672427
cell_1468,0.09442734
cell_1469,0.0022876665
cell_1470,0.014101192
cell_1471,0.12719414
cell_1474,0.015985116
cell_1476,0.03057007
cell_1479,0.052861866
cell_1485,0.19661511
cell_1488,0.037133556
cell_1490,0.047112677
cell_1491,0.050742388
cell_1492,0.13141261
cell_1493,0.065204956
cell_1496,0.03121843
cell_1502,0.039597925
cell_1503,0.020516897
cell_1508,0.10402061
cell_1512,0.05134794
cell_1514,0.12959313
cell_1517,0.04708762
cell_1521,0.034907266
cell_1524,0.014241056
cell_1531,0.17412412
cell_1535,0.030317724
cell_1536,0.04153545
cell_1540,0.07001197
cell_1544,0.12195002
cell_1546,0.17569089
cell_1548,0.026935564
cell_1549,0.117999874
cell_1551,0.12731671
cell_1555,0.047728285
cell_1557,0.17713527
cell_1559,0.034586165
cell_1564,0.009988375
cell_1568,0.06119052
cell_1569,0.027003786
cell_1570,0.20574397
cell_1574,0.06938904
cell_1577,0.02770519
cell_1578,0.1483133
cell_1580,0.021128377
cell_1581,0.11732719
cell_1585,0.011209606
cell_1593,0.049626894
cell_1594,0.01701735
cell_1595,0.06450031
cell_1597,0.00907289
cell_1600,0.09255218
cell_1601,0.11976002
cell_1602,0.06355624
cell_1603,0.10242227
cell_1604,0.01880451
cell_1606,0.106077835
cell_1607,0.06618873
cell_1609,0.06052819
cell_1617,0.05941063
cell_1620,0.030567845
cell_1622,0.16352908
cell_1623,0.020614285
cell_1631,0.073405676
cell_1633,0.0488907
cell_1635,0.053900488
cell_1637,0.05614677
cell_1641,0.056168713
cell_1642,0.18563873
cell_1650,0.23055585
cell_1652,0.07005992
cell_1654,0.056410503
cell_1657,0.0323035
cell_1658,0.071912505
cell_1659,0.21610348
cell_1660,0.018311573
cell_1663,0.12884392
cell_1665,0.21967243
cell_1666,0.22113103
cell_1669,0.12433447
cell_1672,0.010291886
cell_1674,0.012010984
cell_1677,0.05222298
cell_1681,0.00844003
cell_1682,0.072212845
cell_1684,0.18700315
cell_1688,0.0765718
cell_1689,0.12582614
cell_1690,0.064870626
cell_1691,0.07017127
cell_1700,0.045500055
cell_1702,0.056574147
cell_1705,0.19971365
cell_1707,0.053512927
cell_1710,0.02514474
cell_1714,0.14271906
cell_1716,0.029025113
cell_1718,0.05521395
cell_1720,0.04995501
cell_1721,0.10235473
cell_1723,0.13483971
cell_1727,0.17473869
cell_1731,0.044967286
cell_1736,0.21093291
cell_1737,0.058568783
cell_1738,0.031804327
cell_1739,0.12347247
cell_1746,0.057089508
cell_1749,0.21748726
cell_1751,0.19614011
cell_1753,0.1778838
cell_1757,0.2161766
cell_1762,0.0526398
cell_1765,0.061151415
cell_1766,0.054182824
cell_1775,0.032926727
cell_1777,0.22523358
cell_1779,0.1095097
cell_1786,0.019535637
cell_1787,0.10992384
cell_1789,0.20777655
cell_1791,0.04050163
cell_1795,0.1375891
cell_1799,0.058133636
cell_1801,0.21071194
cell_1806,0.12690341
cell_1808,0.048013475
cell_1809,0.014336548
cell_1810,0.12799795
cell_1816,0.16807085
cell_1817,0.016669111
cell_1819,0.20288609
cell_1820,0.05715786
cell_1822,0.060553104
cell_1825,0.05413153
cell_1826,0.07411477
cell_1827,0.035064835
cell_1828,0.050413985
cell_1830,0.018779095
cell_1832,0.047816362
cell_1833,0.09629176
cell_1840,0.014486481
cell_1843,0.04652057
cell_1845,0.19913024
cell_1854,0.05347217
cell_1856,0.16954106
cell_1858,0.015989441
cell_1861,0.055290226
cell_1862,0.16729061
cell_1865,0.06305254
cell_1866,0.12804215
cell_1870,0.013040168
cell_1871,0.039447412
cell_1874,0.22010104
cell_1884,0.20385171
cell_1891,0.06413664
cell_1897,0.16121957
cell_1899,0.02837848
cell_1900,0.025893964
cell_1903,0.1303132
cell_1905,0.12080878
cell_1907,0.020066231
cell_1917,0.03912558
cell_1922,0.04620649
cell_1924,0.1978535
cell_1930,0.055338535
cell_1933,0.11828862
cell_1934,0.05470172
cell_1935,0.18428054
cell_1938,0.0074104485
cell_1945,0.014462994
cell_1946,0.04400091
cell_1948,0.055213805
cell_1949,0.023005193
cell_1950,0.016107125
cell_1951,0.037615158
cell_1952,0.2181672
cell_1955,0.21985622
cell_1956,0.019544836
cell_1962,0.03232182
cell_1963,0.054910764
cell_1964,0.17485484
cell_1966,0.047924064
cell_1970,0.19410749
cell_1972,0.04365173
cell_1973,0.020168986
cell_1974,0.0686624
cell_1975,0.10005541
cell_1978,0.02482249
cell_1984,0.14801699
cell_1986,0.064319044
cell_1989,0.080317765
cell_1990,0.062749274
cell_1992,0.053219654
cell_1993,0.0375458
cell_1994,0.049075864
