,pseudotime0,pseudotime1,pseudotime2,pseudotime3
cell_80,0.6819666,,,
cell_81,0.683032,,,
cell_82,,,0.4744145,
cell_83,0.54670596,,,
cell_84,,,,0.9083564
cell_85,,0.035362042,,
cell_86,0.6575886,,,
cell_87,,,0.49376494,
cell_88,,,0.42562047,
cell_89,0.500254,,,
cell_90,,,,0.9001675
cell_91,,,0.42629865,
cell_92,0.47022077,,,
cell_93,0.47419077,,,
cell_94,0.6424734,,,
cell_95,,,,0.6888052
cell_96,,0.035412736,,
cell_97,0.6744084,,,
cell_98,,0.09902613,,
cell_99,0.6427842,,,
cell_100,,,,0.81348
cell_101,,0.1592116,,
cell_102,,0.07881159,,
cell_103,0.5408065,,,
cell_104,0.58719313,,,
cell_105,0.6965409,,,
cell_106,0.655137,,,
cell_107,0.37154153,,,
cell_108,,0.07864984,,
cell_109,0.55656993,,,
cell_110,,,0.5195152,
cell_111,,,0.49347147,
cell_112,,,0.49367985,
cell_113,,,0.48298237,
cell_114,0.41079292,,,
cell_115,0.66989815,,,
cell_116,0.69305384,,,
cell_117,0.61525697,,,
cell_118,0.66242576,,,
cell_119,,,,0.74011475
cell_120,0.6191499,,,
cell_121,,,0.48020947,
cell_122,,,0.44963592,
cell_123,,0.04592226,,
cell_124,0.6222962,,,
cell_125,,0.029714333,,
cell_126,0.528302,,,
cell_127,,,0.47191983,
cell_128,,0.15846406,,
cell_129,,,0.35122135,
cell_130,0.4972074,,,
cell_131,,,,0.46023887
cell_132,,0.16865624,,
cell_133,,,0.46625218,
cell_134,0.69461274,,,
cell_135,,0.04155243,,
cell_136,0.671538,,,
cell_137,,,,0.93476295
cell_138,0.69866997,,,
cell_139,,,0.4639493,
cell_140,,,0.54243517,
cell_141,0.5635724,,,
cell_142,0.41378978,,,
cell_143,,0.25734565,,
cell_144,,0.11682787,,
cell_145,,0.06273129,,
cell_146,,0.059532974,,
cell_147,,,0.44621962,
cell_148,0.38423827,,,
cell_149,,,,0.41907167
cell_150,0.6664099,,,
cell_151,0.5398318,,,
cell_152,0.6655313,,,
cell_153,,,0.43872738,
cell_154,0.6696468,,,
cell_155,,,0.4676974,
cell_156,,,0.46505234,
cell_157,0.5405734,,,
cell_158,0.45925242,,,
cell_159,,,0.5004237,
cell_160,0.67671466,,,
cell_161,0.7087919,,,
cell_162,,,0.48019728,
cell_163,0.5252226,,,
cell_164,0.63139796,,,
cell_165,0.593019,,,
cell_166,,,0.5477694,
cell_167,0.5849654,,,
cell_168,,,0.43790615,
cell_169,,,0.5022121,
cell_170,0.44962135,,,
cell_171,,,0.5245146,
cell_172,,,0.52827126,
cell_173,,,0.46838212,
cell_174,0.651898,,,
cell_175,,0.09074282,,
cell_176,,,,0.5714435
cell_177,,,0.47141528,
cell_178,0.6744334,,,
cell_179,0.57002616,,,
cell_180,,,,0.8233485
cell_181,0.67624646,,,
cell_182,,0.050254297,,
cell_183,,0.057647053,,
cell_184,0.66891015,,,
cell_185,,0.13847794,,
cell_186,,,0.44355592,
cell_187,,0.14768037,,
cell_188,,0.18033192,,
cell_189,,,0.4959605,
cell_190,,,0.5408762,
cell_191,0.35468704,,,
cell_192,0.56697345,,,
cell_193,0.47687262,,,
cell_194,,0.063991904,,
cell_195,,0.039792903,,
cell_196,0.69026,,,
cell_197,,,,0.79868704
cell_198,0.69122964,,,
cell_199,,0.19586766,,
cell_200,,0.18869181,,
cell_201,,,0.44170135,
cell_202,0.66928923,,,
cell_203,0.7175565,,,
cell_204,,,0.4162077,
cell_205,0.67829454,,,
cell_206,0.6969277,,,
cell_207,0.6557796,,,
cell_208,,,,0.5915398
cell_209,,0.15183891,,
cell_210,0.5117883,,,
cell_211,,0.15462708,,
cell_212,,0.09490229,,
cell_213,,,0.5391519,
cell_214,,,,0.76605874
cell_215,0.47138828,,,
cell_216,0.37934107,,,
cell_217,0.39991522,,,
cell_218,,,0.53070164,
cell_219,,0.05776954,,
cell_220,0.5021722,,,
cell_221,,0.24250206,,
cell_222,,0.037062984,,
cell_223,0.6070826,,,
cell_224,,,,0.4313039
cell_225,,0.16106439,,
cell_226,0.66725576,,,
cell_227,0.6439966,,,
cell_228,,,0.50113976,
cell_229,0.6736872,,,
cell_230,0.66173965,,,
cell_231,,0.15260293,,
cell_232,,,0.49460486,
cell_233,,0.18594302,,
cell_234,0.65079296,,,
cell_235,,,,0.47192985
cell_236,,,,0.4727553
cell_237,,,0.4494026,
cell_238,,,0.49957514,
cell_239,,0.18385358,,
cell_240,0.6040584,,,
cell_241,,,0.44069132,
cell_242,0.625139,,,
cell_243,,0.18101358,,
cell_244,,,0.4981444,
cell_245,0.62364215,,,
cell_246,,0.08399268,,
cell_247,0.5134871,,,
cell_248,,0.26698953,,
cell_249,,0.061282646,,
cell_250,,0.042343557,,
cell_251,0.71039623,,,
cell_252,0.5333197,,,
cell_253,,,0.4202718,
cell_254,,0.19792014,,
cell_255,0.6597108,,,
cell_256,,0.17999569,,
cell_257,0.5367481,,,
cell_258,,0.02759261,,
cell_259,0.64277637,,,
cell_260,,,0.35888037,
cell_261,0.5326808,,,
cell_262,,0.041929603,,
cell_263,,,0.44758278,
cell_264,,0.09437509,,
cell_265,,,0.50107855,
cell_266,,0.15445967,,
cell_267,,,,0.5340823
cell_268,,,,0.50050837
cell_269,,0.18893526,,
cell_270,0.60474056,,,
cell_271,0.39941072,,,
cell_272,0.5225782,,,
cell_273,,0.06609884,,
cell_274,,0.19583394,,
cell_275,0.68578994,,,
cell_276,,,,0.5335426
cell_277,,0.08427225,,
cell_278,,0.16561016,,
cell_279,,0.112724684,,
cell_280,,0.1733105,,
cell_281,0.5824635,,,
cell_282,,0.17039736,,
cell_283,,0.1898418,,
cell_284,,,,0.7431714
cell_285,,,0.55335176,
cell_286,0.70887285,,,
cell_287,0.6927844,,,
cell_288,0.61212724,,,
cell_289,,0.15788746,,
cell_290,,0.26918966,,
cell_291,,0.15927829,,
cell_292,0.70168895,,,
cell_293,,0.055441372,,
cell_294,0.66126716,,,
cell_295,,,0.38466382,
cell_296,0.74188536,,,
cell_297,,0.04247399,,
cell_298,,,0.40222055,
cell_299,,0.049637377,,
cell_300,,,0.52888286,
cell_301,,0.16755722,,
cell_302,,,0.5045148,
cell_303,,,,0.39218056
cell_304,,,0.439342,
cell_305,,,0.4772869,
cell_306,0.6232203,,,
cell_307,,0.21924058,,
cell_308,,,0.46267548,
cell_309,,,0.43182546,
cell_310,,0.07460071,,
cell_311,,0.1319414,,
cell_312,,,0.50967693,
cell_313,0.6356619,,,
cell_314,0.40382197,,,
cell_315,0.3752698,,,
cell_316,,,0.461325,
cell_317,,,,0.548057
cell_318,,0.07990963,,
cell_319,,0.07831391,,
cell_320,0.42213583,,,
cell_321,0.6656285,,,
cell_322,,0.13589868,,
cell_323,,0.07644869,,
cell_324,,,0.56879646,
cell_325,0.52775806,,,
cell_326,,0.18267812,,
cell_327,,,,0.819455
cell_328,0.55702364,,,
cell_329,,,,0.9057898
cell_330,,,0.43601692,
cell_331,0.6523379,,,
cell_332,0.5152398,,,
cell_333,,0.038903486,,
cell_334,0.6317887,,,
cell_335,0.2535223,,,
cell_336,,,0.5578383,
cell_337,0.59765655,,,
cell_338,,0.15007132,,
cell_339,,0.029619427,,
cell_340,,0.32470962,,
cell_341,,,,0.8629434
cell_342,,,0.4616262,
cell_343,,0.12393053,,
cell_344,,0.13089441,,
cell_345,,,0.45032948,
cell_346,0.6414084,,,
cell_347,,0.052855127,,
cell_348,0.6885424,,,
cell_349,,,,0.8567011
cell_350,,0.13178822,,
cell_351,0.6979281,,,
cell_352,,0.23060714,,
cell_353,,,0.5418607,
cell_354,0.43580177,,,
cell_355,0.69159794,,,
cell_356,,0.07688409,,
cell_357,,,,0.44074118
cell_358,0.5204993,,,
cell_359,,0.102789134,,
cell_360,,,0.3910018,
cell_361,,,0.48793086,
cell_362,,,0.4613684,
cell_363,,,,0.9085062
cell_364,0.4815337,,,
cell_365,,0.09913997,,
cell_366,0.5402927,,,
cell_367,,,,0.41905263
cell_368,0.4250425,,,
cell_369,,0.13070287,,
cell_370,,0.03770497,,
cell_371,,0.04421434,,
cell_372,0.46519208,,,
cell_373,,,0.49609473,
cell_374,,0.1826984,,
cell_375,,0.15097204,,
cell_376,,0.08697172,,
cell_377,,,0.5028512,
cell_378,,,,0.44656754
cell_379,,,0.40995854,
cell_380,,,0.4689981,
cell_381,,,0.47979212,
cell_382,,0.1380396,,
cell_383,,,,0.4257562
cell_384,0.5654186,,,
cell_385,,,0.46250427,
cell_386,0.3818697,,,
cell_387,0.6913704,,,
cell_388,0.67319024,,,
cell_389,,,0.3846472,
cell_390,,,0.4359589,
cell_391,0.5203234,,,
cell_392,0.64807785,,,
cell_393,,,0.50185287,
cell_394,,,0.5038056,
cell_395,0.6565346,,,
cell_396,,,0.5102856,
cell_397,0.67914206,,,
cell_398,,,,0.83455706
cell_399,0.5546108,,,
cell_400,,,0.45434323,
cell_401,,0.15396108,,
cell_402,,0.15003367,,
cell_403,0.66543627,,,
cell_404,0.5324871,,,
cell_405,0.5036599,,,
cell_406,,0.03509229,,
cell_407,,0.10613181,,
cell_408,,0.18454003,,
cell_409,,0.06274454,,
cell_410,,,,0.5217468
cell_411,0.64453256,,,
cell_412,0.7144857,,,
cell_413,0.6582349,,,
cell_414,,0.07237415,,
cell_415,0.43696067,,,
cell_416,0.6710815,,,
cell_417,,,0.417954,
cell_418,0.5418761,,,
cell_419,,0.108964965,,
cell_420,0.6939152,,,
cell_421,,,0.46143746,
cell_422,,,0.4856328,
cell_423,0.36904302,,,
cell_424,0.6650758,,,
cell_425,0.5272397,,,
cell_426,0.6636938,,,
cell_427,,0.14062235,,
cell_428,0.70041406,,,
cell_429,,,,0.8486394
cell_430,,0.13081789,,
cell_431,,,,0.6078634
cell_432,,,,0.80530596
cell_433,,,0.48128727,
cell_434,,0.029376674,,
cell_435,,0.1882057,,
cell_436,,0.15781203,,
cell_437,,,,0.8313922
cell_438,,,0.4571741,
cell_439,,,,0.81064874
cell_440,,0.097832605,,
cell_441,,,,0.8028506
cell_442,0.67305386,,,
cell_443,,,,0.82168853
cell_444,0.6663013,,,
cell_445,,,,0.45174673
cell_446,0.5679937,,,
cell_447,0.42228994,,,
cell_448,,,0.4806028,
cell_449,0.63012046,,,
cell_450,,0.1485686,,
cell_451,,0.106740564,,
cell_452,0.6538521,,,
cell_453,,0.10021859,,
cell_454,,,0.4268888,
cell_455,,0.08516373,,
cell_456,,0.15636334,,
cell_457,,0.03839111,,
cell_458,,,0.45751435,
cell_459,,,,0.7601935
cell_460,,,0.46330404,
cell_461,0.674391,,,
cell_462,0.64489734,,,
cell_463,0.7028628,,,
cell_464,0.5745402,,,
cell_465,,0.044722922,,
cell_466,0.41868472,,,
cell_467,0.653112,,,
cell_468,,0.13901976,,
cell_469,0.5881651,,,
cell_470,0.672085,,,
cell_471,,0.17217968,,
cell_472,0.38614398,,,
cell_473,0.37608233,,,
cell_474,0.6281373,,,
cell_475,,,0.49267256,
cell_476,,0.05061684,,
cell_477,0.44568053,,,
cell_478,0.6353092,,,
cell_479,0.470495,,,
cell_480,,0.08378399,,
cell_481,0.5754331,,,
cell_482,,0.015054288,,
cell_483,,0.037989203,,
cell_484,0.66460097,,,
cell_485,,,0.49633124,
cell_486,0.69543713,,,
cell_487,0.463338,,,
cell_488,,,0.44479063,
cell_489,0.54171836,,,
cell_490,0.4458012,,,
cell_491,,,,0.4440823
cell_492,,,0.4369478,
cell_493,0.37478825,,,
cell_494,0.6449772,,,
cell_495,,0.16139959,,
cell_496,0.41597572,,,
cell_497,,0.049638797,,
cell_498,0.6833574,,,
cell_499,0.4555246,,,
cell_500,,,,0.46290648
cell_501,,0.10286814,,
cell_502,0.3004402,,,
cell_503,,0.07303241,,
cell_504,,,,0.32699153
cell_505,0.65416807,,,
cell_506,0.6740444,,,
cell_507,0.66416925,,,
cell_508,,,,1.0
cell_509,,0.18112575,,
cell_510,,,0.42007944,
cell_511,0.59544605,,,
cell_512,,0.11055512,,
cell_513,,0.14941034,,
cell_514,0.56305057,,,
cell_515,0.5696991,,,
cell_516,,,0.45582741,
cell_517,,0.17481789,,
cell_518,0.6772378,,,
cell_519,0.71458435,,,
cell_520,,,,0.62321097
cell_521,,,0.39577705,
cell_522,,,0.44049153,
cell_523,0.71068114,,,
cell_524,,,0.49057376,
cell_525,0.6583927,,,
cell_526,0.5571141,,,
cell_527,,0.059750397,,
cell_528,,,0.41593996,
cell_529,,0.057886846,,
cell_530,0.53185433,,,
cell_531,0.42697945,,,
cell_532,,,0.46426725,
cell_533,,,0.41493663,
cell_534,,0.078516796,,
cell_535,0.63716197,,,
cell_536,0.6965172,,,
cell_537,,,0.4379088,
cell_538,0.6318294,,,
cell_539,,,0.47170308,
cell_540,,,0.5138995,
cell_541,0.406975,,,
cell_542,0.6642344,,,
cell_543,,,0.45086047,
cell_544,0.5724889,,,
cell_545,,,0.5719757,
cell_546,0.6340612,,,
cell_547,,0.19927426,,
cell_548,,,0.4770849,
cell_549,,,,0.899556
cell_550,,0.18528803,,
cell_551,,0.16776977,,
cell_552,0.43580312,,,
cell_553,0.7382071,,,
cell_554,,0.066854246,,
cell_555,,,,0.8392167
cell_556,,0.175991,,
cell_557,,0.049583692,,
cell_558,,,,0.44210577
cell_559,,0.076440156,,
cell_560,0.68295765,,,
cell_561,,,0.49894124,
cell_562,,0.0919327,,
cell_563,,0.1540839,,
cell_564,,,,0.80231106
cell_565,,0.1439131,,
cell_566,,,0.43726724,
cell_567,0.45528558,,,
cell_568,,,,0.9534072
cell_569,,,0.39552724,
cell_570,0.43424308,,,
cell_571,,0.045903746,,
cell_572,,,0.4775318,
cell_573,,0.2043244,,
cell_574,0.6928307,,,
cell_575,,0.1674243,,
cell_576,,0.13461655,,
cell_577,0.6536449,,,
cell_578,0.6553249,,,
cell_579,,0.14820199,,
cell_580,0.52326846,,,
cell_581,,,,0.9248276
cell_582,,0.16791242,,
cell_583,0.38960907,,,
cell_584,,,,0.72663856
cell_585,0.3816445,,,
cell_586,0.43730974,,,
cell_587,,,0.45869958,
cell_588,,0.22387409,,
cell_589,0.56837225,,,
cell_590,0.6985471,,,
cell_591,,0.09974751,,
cell_592,0.6346815,,,
cell_593,0.6753994,,,
cell_594,,0.070707515,,
cell_595,,,0.40949443,
cell_596,,,,0.43945366
cell_597,,,0.52436554,
cell_598,,,0.5521584,
cell_599,,0.036059853,,
cell_600,,0.08130757,,
cell_601,,0.038688146,,
cell_602,0.5848713,,,
cell_603,,0.08216137,,
cell_604,,,0.5224321,
cell_605,0.5084438,,,
cell_606,,0.14424093,,
cell_607,,0.17988148,,
cell_608,,0.08466551,,
cell_609,,,0.52402353,
cell_610,0.4593819,,,
cell_611,0.29316285,,,
cell_612,0.6308694,,,
cell_613,0.57228976,,,
cell_614,0.663615,,,
cell_615,,,0.46936953,
cell_616,,,0.48167,
cell_617,0.613168,,,
cell_618,,0.21138306,,
cell_619,,,0.52689207,
cell_620,,0.12323834,,
cell_621,0.56179637,,,
cell_622,,0.03433169,,
cell_623,,0.053940084,,
cell_624,,0.18420692,,
cell_625,,,,0.76729167
cell_626,,,0.42664567,
cell_627,,0.16455442,,
cell_628,0.7395365,,,
cell_629,,,,0.8394433
cell_630,0.66383004,,,
cell_631,,,0.5771896,
cell_632,,0.021791212,,
cell_633,0.60698587,,,
cell_634,0.4108419,,,
cell_635,,0.1894526,,
cell_636,,,,0.4444867
cell_637,,,0.47770706,
cell_638,,,,0.47134265
cell_639,0.47902298,,,
cell_640,0.7077435,,,
cell_641,0.7330075,,,
cell_642,0.6083232,,,
cell_643,,,0.47707054,
cell_644,,,,0.453191
cell_645,0.65980405,,,
cell_646,,,0.50867856,
cell_647,,0.07509028,,
cell_648,,,0.5065598,
cell_649,0.5601237,,,
cell_650,,0.15392934,,
cell_651,,,0.31789207,
cell_652,0.67109865,,,
cell_653,0.63998926,,,
cell_654,0.67092013,,,
cell_655,,,,0.8601183
cell_656,0.70082116,,,
cell_657,0.6255563,,,
cell_658,0.59055054,,,
cell_659,,,0.45042104,
cell_660,0.47590908,,,
cell_661,0.5276482,,,
cell_662,,,,0.8792105
cell_663,0.50693935,,,
cell_664,0.69815445,,,
cell_665,,,,0.42169207
cell_666,,0.046308514,,
cell_667,,0.17061049,,
cell_668,,,0.39435604,
cell_669,,,0.46256,
cell_670,,0.07071634,,
cell_671,0.7082177,,,
cell_672,,0.15429801,,
cell_673,,,,0.43805838
cell_674,0.67605627,,,
cell_675,0.2673347,,,
cell_676,0.611107,,,
cell_677,0.2697011,,,
cell_678,,,0.3088255,
cell_679,,,0.4702093,
cell_680,,0.15512112,,
cell_681,,0.11438952,,
cell_682,,,0.46494365,
cell_683,0.63512725,,,
cell_684,,,0.5290708,
cell_685,0.51694727,,,
cell_686,0.6281472,,,
cell_687,,0.20390293,,
cell_688,,0.19192335,,
cell_689,,,0.4463981,
cell_690,0.38941762,,,
cell_691,,0.07413112,,
cell_692,,,,0.44760495
cell_693,,,0.42052895,
cell_694,0.6743198,,,
cell_695,,0.1901654,,
cell_696,0.39092168,,,
cell_697,,0.11587489,,
cell_698,0.65738744,,,
cell_699,,0.04514197,,
cell_700,,0.041603595,,
cell_701,0.6198739,,,
cell_702,0.6788625,,,
cell_703,0.6497447,,,
cell_704,,,0.46405026,
cell_705,,0.055882264,,
cell_706,0.616711,,,
cell_707,,0.22442986,,
cell_708,,0.052381694,,
cell_709,0.6294648,,,
cell_710,,0.129112,,
cell_711,,,0.4319252,
cell_712,,,0.43121415,
cell_713,0.71378857,,,
cell_714,0.19286224,,,
cell_715,0.3661955,,,
cell_716,,0.0643833,,
cell_717,,,,0.73781276
cell_718,0.38345167,,,
cell_719,0.61847377,,,
cell_720,0.7073571,,,
cell_721,0.658786,,,
cell_722,,0.045256093,,
cell_723,,0.08636028,,
cell_724,0.2822214,,,
cell_725,,0.07928247,,
cell_726,0.5987392,,,
cell_727,,0.054933775,,
cell_728,,0.032751784,,
cell_729,0.44367918,,,
cell_730,,,0.36795047,
cell_731,0.4240013,,,
cell_732,,0.07385869,,
cell_733,,,0.46881503,
cell_734,,,0.44224593,
cell_735,,0.16032656,,
cell_736,,0.15910885,,
cell_737,,,0.4563386,
cell_738,,,,0.786256
cell_739,0.64633834,,,
cell_740,,0.043334153,,
cell_741,,0.1295217,,
cell_742,,,0.5276989,
cell_743,0.70157933,,,
cell_744,,0.08853848,,
cell_745,,,,0.44933355
cell_746,0.68307006,,,
cell_747,,,,0.84002405
cell_748,,,0.4576808,
cell_749,,,0.43390164,
cell_750,0.48268214,,,
cell_751,,0.1851181,,
cell_752,,,,0.45601004
cell_753,0.7134636,,,
cell_754,0.65791667,,,
cell_755,,0.05932618,,
cell_756,0.64191324,,,
cell_757,,,0.5310345,
cell_758,,0.0977639,,
cell_759,0.54109794,,,
cell_760,,,0.43076915,
cell_761,,,,0.75307876
cell_762,0.6246755,,,
cell_763,,0.12991227,,
cell_764,0.70717144,,,
cell_765,,0.07609005,,
cell_766,,,,0.73271483
cell_767,,0.10646766,,
cell_768,0.61920995,,,
cell_769,0.42699245,,,
cell_770,0.6269915,,,
cell_771,,0.094530545,,
cell_772,,0.08905715,,
cell_773,,0.056734614,,
cell_774,,0.17774065,,
cell_775,,,,0.4697034
cell_776,0.6701581,,,
cell_777,0.5411152,,,
cell_778,0.6658908,,,
cell_779,0.39168346,,,
cell_780,,,0.38308054,
cell_781,0.5798467,,,
cell_782,0.4671014,,,
cell_783,0.35096547,,,
cell_784,,0.02888517,,
cell_785,,,0.4930635,
cell_786,,0.037213244,,
cell_787,,,0.48962212,
cell_788,,0.094503336,,
cell_789,0.59541255,,,
cell_790,0.47955158,,,
cell_791,,0.15024884,,
cell_792,,0.038265254,,
cell_793,0.65179163,,,
cell_794,,0.036969185,,
cell_795,,,0.4304779,
cell_796,,,0.48528537,
cell_797,,,0.5310936,
cell_798,,,,0.9705152
cell_799,,0.06702769,,
cell_800,0.68938243,,,
cell_801,,,0.49359763,
cell_802,0.49465084,,,
cell_803,,0.16045451,,
cell_804,0.6161049,,,
cell_805,,,,0.5804131
cell_806,,,0.40420026,
cell_807,0.691621,,,
cell_808,,0.15188643,,
cell_809,,,0.464614,
cell_810,,0.2511751,,
cell_811,0.66797817,,,
cell_812,,0.1243767,,
cell_813,0.61990994,,,
cell_814,0.70166457,,,
cell_815,0.6334213,,,
cell_816,,,,0.8236706
cell_817,,,0.45520633,
cell_818,0.39768198,,,
cell_819,0.62037474,,,
cell_820,,,,0.6775947
cell_821,0.70385534,,,
cell_822,,0.18194906,,
cell_823,,,,0.68107694
cell_824,0.48463845,,,
cell_825,0.661039,,,
cell_826,,,0.50142485,
cell_827,0.41502804,,,
cell_828,0.63160914,,,
cell_829,0.64334184,,,
cell_830,,0.016076691,,
cell_831,0.5510048,,,
cell_832,0.56863576,,,
cell_833,,0.06402986,,
cell_834,,,0.5287798,
cell_835,0.6742544,,,
cell_836,0.66503143,,,
cell_837,,,0.5315446,
cell_838,0.6670339,,,
cell_839,,,0.4723355,
cell_840,,,0.31793514,
cell_841,,,0.55611247,
cell_842,,0.09744861,,
cell_843,0.6695895,,,
cell_844,,,0.5001311,
cell_845,0.4636427,,,
cell_846,,,,0.9153175
cell_847,,,0.4943747,
cell_848,,,0.5507426,
cell_849,0.66520464,,,
cell_850,0.62455946,,,
cell_851,,,0.47992328,
cell_852,0.6847295,,,
cell_853,0.3719822,,,
cell_854,,0.036518775,,
cell_855,,,0.49672732,
cell_856,0.66015786,,,
cell_857,,,0.46221247,
cell_858,0.59668905,,,
cell_859,0.66323745,,,
cell_860,,,0.47534907,
cell_861,,0.011289017,,
cell_862,,,0.4689018,
cell_863,0.4320195,,,
cell_864,,,,0.90204287
cell_865,0.630095,,,
cell_866,0.65520656,,,
cell_867,0.38145176,,,
cell_868,,,0.46668893,
cell_869,0.6296606,,,
cell_870,0.3910332,,,
cell_871,0.70708907,,,
cell_872,,,,0.6003938
cell_873,0.6105846,,,
cell_874,,0.11305366,,
cell_875,,,0.45789742,
cell_876,0.24906327,,,
cell_877,,0.09012036,,
cell_878,,,0.4169678,
cell_879,,0.046846036,,
cell_880,,,,0.78238004
cell_881,,0.20078501,,
cell_882,0.6129062,,,
cell_883,0.5516477,,,
cell_884,,,0.5152662,
cell_885,0.70577383,,,
cell_886,,,,0.9289081
cell_887,,,0.4721425,
cell_888,0.7119684,,,
cell_889,,,,0.76198703
cell_890,,,,0.97394764
cell_891,,,,0.8003625
cell_892,,0.11622173,,
cell_893,0.73817444,,,
cell_894,,0.15113705,,
cell_895,0.5656034,,,
cell_896,,,,0.94216144
cell_897,,,,0.71249646
cell_898,,,,0.76453096
cell_899,0.62051994,,,
cell_900,,,,0.90387017
cell_901,,,0.50034416,
cell_902,0.55925554,,,
cell_903,,,,0.7409849
cell_904,,,0.4334891,
cell_905,,,0.45709646,
cell_906,,,,0.43902498
cell_907,0.36483452,,,
cell_908,,,0.4777481,
cell_909,,,0.41067612,
cell_910,,,0.41995436,
cell_911,,0.06788424,,
cell_912,,0.37930107,,
cell_913,,,,0.87139416
cell_914,0.6226953,,,
cell_915,,,,0.774658
cell_916,,,,0.47564632
cell_917,0.5500932,,,
cell_918,,,0.44632658,
cell_919,0.6781621,,,
cell_920,,,,0.35574305
cell_921,,,0.47798845,
cell_922,0.5924645,,,
cell_923,,,0.43245444,
cell_924,,,0.33246526,
cell_925,0.68731856,,,
cell_926,,,0.463658,
cell_927,,,,0.7356838
cell_928,,0.034883074,,
cell_929,0.6410063,,,
cell_930,0.62790865,,,
cell_931,,,0.5218777,
cell_932,,0.11727195,,
cell_933,,0.032010663,,
cell_934,,,0.51623154,
cell_935,0.6015342,,,
cell_936,0.5389565,,,
cell_937,,,0.4438921,
cell_938,0.5146066,,,
cell_939,,0.19744329,,
cell_940,,,,0.6416212
cell_941,0.39968717,,,
cell_942,,,0.46030846,
cell_943,,0.17650582,,
cell_944,,,0.5069981,
cell_945,0.62247896,,,
cell_946,,,,0.86628574
cell_947,,0.253803,,
cell_948,0.6738381,,,
cell_949,0.45012307,,,
cell_950,0.6849365,,,
cell_951,,0.02138881,,
cell_952,,0.08122371,,
cell_953,0.59032893,,,
cell_954,0.66072375,,,
cell_955,,,0.4438507,
cell_956,0.566205,,,
cell_957,,,,0.85216933
cell_958,,0.03865176,,
cell_959,0.6411465,,,
cell_960,0.665952,,,
cell_961,,,0.4448452,
cell_962,0.55972016,,,
cell_963,0.66555005,,,
cell_964,,0.13156332,,
cell_965,0.6773087,,,
cell_966,,,0.47195148,
cell_967,,0.0697044,,
cell_968,,0.15315364,,
cell_969,,,0.4152466,
cell_970,0.6896724,,,
cell_971,0.6994333,,,
cell_972,0.6362907,,,
cell_973,0.57684994,,,
cell_974,0.66044277,,,
cell_975,,,0.52879333,
cell_976,,0.1529681,,
cell_977,,,0.45801216,
cell_978,0.6817905,,,
cell_979,0.55500513,,,
cell_980,,,0.45857352,
cell_981,0.6451189,,,
cell_982,,0.15464781,,
cell_983,0.68090755,,,
cell_984,,0.2898929,,
cell_985,0.34172362,,,
cell_986,,,0.47113565,
cell_987,,,0.47369698,
cell_988,0.7026169,,,
cell_989,0.7110738,,,
cell_990,,0.034749463,,
cell_991,,0.18420978,,
cell_992,,,,0.3914308
cell_993,0.6921628,,,
cell_994,,,0.4502566,
cell_995,0.6397724,,,
cell_996,0.6646379,,,
cell_997,,0.04334097,,
cell_998,0.68019897,,,
