Parent	Type	Child	Weight	Probability	Score
g9	+	g8	0.181600	1.000000	0.230904
g10	+	g8	0.198627	1.000000	0.252554
g11	+	g8	0.051759	0.999118	0.065753
g1	-	g9	-0.012704	0.029249	-0.000472
g2	+	g9	0.007245	0.126669	0.001167
g3	+	g9	0.015360	0.414684	0.008099
g4	+	g9	0.006402	0.027206	0.000221
g5	+	g9	0.004425	0.013044	0.000073
g6	-	g9	-0.004748	0.009710	-0.000059
g7	+	g9	0.000508	0.001909	0.000001
g8	+	g9	0.206474	1.000000	0.262531
g9	+	g9	0.224133	1.000000	0.284985
g10	+	g9	0.266963	1.000000	0.339443
g11	+	g9	0.078120	0.996601	0.098992
g1	-	g10	-0.004632	0.069492	-0.000409
g2	+	g10	0.015558	0.178576	0.003533
g3	+	g10	0.018251	0.317810	0.007375
g4	+	g10	0.001824	0.005259	0.000012
g5	+	g10	0.003688	0.008785	0.000041
g6	+	g10	0.001386	0.003285	0.000006
g7	+	g10	0.005932	0.018538	0.000140
g8	+	g10	0.212550	1.000000	0.270257
g9	+	g10	0.217197	1.000000	0.276166
g10	+	g10	0.248829	1.000000	0.316386
g11	+	g10	0.067341	0.999999	0.085624
g1	-	g11	-0.027839	0.097206	-0.003441
g2	-	g11	-0.081096	0.810324	-0.083555
g3	-	g11	-0.026481	0.079959	-0.002692
g4	-	g11	-0.009153	0.007449	-0.000087
g5	+	g11	0.006490	0.005293	0.000044
g6	+	g11	0.023566	0.036254	0.001086
g7	-	g11	-0.053416	0.189820	-0.012892
g8	+	g11	0.315566	1.000000	0.401243
g9	+	g11	0.243607	1.000000	0.309746
g10	+	g11	0.140548	0.996881	0.178150
g11	+	g11	0.448847	1.000000	0.570709
