,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11
cell_260,True,True,True,False,True,True,False,True,False,False,False
cell_262,True,True,True,False,True,True,True,False,False,True,True
cell_265,True,False,True,False,True,True,False,False,False,True,True
cell_266,True,False,True,False,False,False,False,False,False,True,False
cell_267,True,True,True,False,False,True,True,False,True,True,False
cell_269,True,True,False,False,True,False,True,True,True,False,False
cell_273,False,False,True,True,False,True,False,True,False,False,False
cell_274,True,True,False,False,False,False,True,False,True,True,True
cell_275,True,False,False,False,True,False,True,True,True,True,True
cell_277,True,False,False,False,False,False,True,True,True,True,False
cell_278,False,True,True,False,True,False,False,True,False,True,False
cell_280,True,False,True,False,True,False,True,True,True,False,False
cell_282,False,True,True,False,False,False,True,True,True,True,True
cell_283,False,False,True,True,False,True,True,False,True,False,False
cell_284,True,False,True,False,True,False,False,False,False,False,False
cell_288,True,True,True,False,False,True,True,False,True,False,False
cell_292,True,True,False,False,False,True,True,True,False,False,True
cell_301,True,True,False,False,True,True,True,True,False,True,True
cell_306,True,True,False,True,False,False,False,True,True,True,True
cell_310,True,False,True,False,True,True,False,True,True,True,True
cell_312,False,False,True,True,False,True,False,False,False,True,True
cell_315,False,True,True,False,True,False,True,False,False,False,True
cell_318,True,True,False,False,False,True,False,False,False,True,True
cell_319,False,False,True,True,False,True,True,False,False,False,False
cell_330,False,False,True,True,False,False,True,True,False,True,False
cell_332,False,True,True,False,False,True,True,False,False,False,True
cell_338,True,True,False,False,False,True,True,False,True,False,False
cell_345,False,True,True,True,True,True,False,True,False,False,False
cell_347,False,False,True,False,True,True,False,True,True,True,True
cell_350,True,False,True,False,False,True,False,True,False,True,True
cell_353,True,True,False,True,False,True,False,False,True,True,True
cell_354,False,False,True,True,True,False,False,False,True,False,True
cell_356,True,True,True,False,False,True,True,True,False,True,False
cell_357,False,True,True,False,False,False,True,False,False,False,True
cell_359,False,False,True,True,False,True,True,False,False,True,False
cell_370,False,False,True,True,False,False,False,False,False,False,False
cell_372,True,False,False,True,False,False,True,True,True,True,False
cell_376,True,True,False,True,False,True,True,False,False,True,True
cell_380,False,True,True,False,False,False,False,False,True,False,False
cell_381,False,False,True,True,True,False,False,False,True,True,True
cell_386,False,True,True,False,True,True,True,True,True,False,False
cell_387,True,True,False,False,False,False,True,True,False,True,False
cell_389,True,True,False,False,True,True,False,False,False,True,True
cell_395,False,False,True,False,True,False,True,False,True,True,True
cell_403,False,True,True,False,True,False,True,True,True,True,True
cell_406,False,False,True,True,False,False,True,True,True,True,False
cell_411,True,True,False,False,False,False,True,False,False,True,True
cell_417,False,False,True,True,False,True,True,True,True,False,False
cell_422,True,True,True,False,True,False,True,False,False,True,True
cell_423,True,False,True,False,False,True,True,False,False,False,False
cell_426,False,True,True,True,False,True,False,True,False,True,False
cell_428,True,True,True,True,True,True,False,False,True,False,False
cell_432,False,False,True,True,False,False,False,True,True,False,False
cell_434,True,True,True,False,False,False,False,False,False,True,False
cell_437,False,False,True,False,True,False,False,False,True,False,True
cell_439,True,True,False,True,False,True,True,False,False,True,False
cell_441,False,True,True,True,False,True,True,False,False,False,True
cell_450,False,False,True,True,False,True,True,True,False,True,True
cell_452,False,False,True,False,True,False,True,True,False,False,False
cell_462,False,False,True,True,False,True,False,False,True,False,True
cell_464,True,True,True,False,True,False,False,False,True,False,True
cell_465,True,True,True,False,False,False,True,True,False,False,True
cell_475,False,True,True,True,False,True,False,False,False,False,False
cell_477,True,False,True,False,True,True,True,False,False,True,False
cell_478,False,False,True,False,True,False,True,True,True,True,False
cell_479,True,True,False,False,True,False,True,True,True,True,False
cell_482,True,True,False,True,False,False,True,True,True,False,False
cell_486,False,True,True,True,True,False,False,True,False,True,False
cell_487,False,True,True,False,False,True,True,True,False,True,True
cell_494,False,True,True,True,False,True,False,False,True,False,False
cell_497,False,True,True,True,False,True,True,False,True,True,False
cell_501,True,True,False,True,True,False,False,False,False,True,True
cell_507,True,True,True,False,False,False,False,False,True,False,True
cell_510,True,True,False,False,False,True,True,True,True,True,False
cell_513,True,True,False,True,False,True,True,False,True,True,True
cell_514,False,False,True,True,True,True,False,True,False,True,False
cell_518,False,True,True,True,False,False,False,False,True,True,True
cell_522,False,False,True,False,True,False,False,False,True,True,True
cell_526,True,True,False,True,True,True,True,False,True,True,False
cell_527,True,True,False,False,True,True,True,False,True,True,True
cell_532,False,False,True,True,False,False,True,False,True,True,True
cell_537,False,False,True,True,False,True,True,False,False,True,True
cell_538,True,True,True,False,False,False,False,True,True,True,False
cell_539,False,True,True,True,True,True,False,False,True,False,False
cell_540,False,True,True,True,False,False,False,False,True,True,False
cell_541,False,True,True,False,False,True,True,False,False,False,False
cell_542,True,True,False,False,False,False,True,True,True,True,False
cell_544,False,False,True,False,True,False,True,True,False,True,True
cell_545,True,True,True,False,False,False,True,True,False,True,True
cell_549,False,True,True,True,False,True,False,True,False,False,False
cell_554,False,False,True,True,False,True,False,True,True,True,True
cell_560,False,False,True,True,False,True,True,True,False,True,False
cell_561,True,False,True,True,False,False,False,True,True,True,False
cell_564,False,True,True,False,False,True,False,False,True,True,True
cell_567,False,True,True,True,True,False,False,True,False,False,False
cell_571,True,True,False,True,True,True,True,False,True,True,True
cell_581,True,True,False,False,True,False,False,True,False,False,True
cell_582,True,True,False,True,True,True,True,True,True,True,True
cell_588,False,False,True,True,True,True,False,False,False,False,True
cell_592,False,False,True,False,False,True,True,False,False,False,False
cell_597,True,True,False,True,False,True,False,True,True,True,True
cell_608,False,False,True,False,True,True,True,True,True,False,True
cell_609,True,True,True,False,False,False,True,False,False,True,True
cell_614,True,True,False,False,False,False,True,True,True,True,True
cell_619,True,False,False,False,False,False,False,True,True,True,False
cell_622,False,False,True,False,True,False,True,False,False,False,False
cell_631,False,False,True,True,True,True,True,True,False,False,False
cell_637,True,True,False,False,False,True,True,True,True,False,False
cell_638,False,False,True,False,False,False,True,True,False,True,False
cell_640,False,True,True,False,False,True,True,True,False,False,False
cell_641,False,True,True,True,False,True,True,True,False,False,False
cell_646,False,False,True,True,True,False,False,False,False,True,False
cell_650,True,True,False,False,True,False,False,True,True,True,True
cell_651,True,False,True,False,False,False,True,False,True,False,False
cell_652,True,True,True,False,False,False,True,True,False,False,False
cell_655,True,False,True,True,True,False,False,False,True,False,False
cell_656,False,False,True,True,False,False,False,False,False,True,True
cell_666,False,True,True,True,True,False,False,False,False,True,False
cell_668,False,False,True,False,True,True,False,False,False,True,False
cell_671,False,True,True,False,True,True,True,False,True,True,True
cell_672,True,True,False,False,True,False,False,True,True,False,True
cell_677,False,False,True,True,False,False,True,False,True,False,True
cell_684,True,True,True,True,True,False,True,True,False,False,True
cell_686,True,True,True,False,True,False,False,True,True,False,False
cell_687,False,True,True,False,False,False,True,True,False,False,True
cell_706,True,False,True,False,False,False,True,False,False,False,True
cell_707,True,True,True,True,False,False,True,True,False,False,False
cell_708,True,False,False,False,False,False,True,False,True,True,True
cell_709,True,True,False,False,False,False,False,False,True,True,False
cell_711,True,True,True,False,False,True,True,False,False,False,True
cell_717,False,False,True,True,False,True,True,True,False,False,True
cell_718,False,True,True,False,False,True,False,False,False,True,False
cell_719,True,True,False,False,True,False,True,True,False,True,True
cell_721,False,False,True,False,True,True,True,False,True,False,True
cell_724,False,False,True,False,True,True,False,True,False,True,False
cell_736,True,True,False,True,True,True,True,True,False,False,False
cell_742,False,False,True,True,True,False,True,True,False,True,True
cell_745,True,True,False,False,False,False,False,False,True,False,False
cell_746,True,True,False,False,False,False,True,False,False,True,False
cell_749,True,False,False,True,True,True,False,False,True,False,False
cell_750,False,False,True,False,True,False,True,True,True,False,True
cell_757,False,False,True,True,False,True,False,True,True,True,False
cell_758,True,True,True,False,False,False,False,True,False,False,False
cell_762,False,True,True,False,False,False,False,True,False,False,False
cell_769,False,True,True,False,False,False,True,False,True,True,False
cell_771,True,True,False,True,False,False,True,True,True,True,False
cell_773,False,False,True,False,False,False,True,False,False,False,True
cell_778,True,False,False,False,True,True,True,True,True,True,False
cell_786,True,False,False,True,False,True,False,False,True,True,True
cell_790,True,True,True,False,False,False,False,True,False,False,True
cell_794,False,False,True,False,True,False,True,False,True,True,False
cell_801,True,True,True,False,True,False,True,False,True,True,False
cell_805,True,False,False,True,False,True,True,True,False,True,False
cell_807,True,True,True,False,True,False,True,False,True,False,True
cell_810,True,False,False,False,True,False,True,True,True,False,False
cell_812,False,False,True,True,False,False,True,True,False,False,True
cell_814,False,False,True,False,False,True,False,False,True,False,True
cell_820,True,True,True,False,True,False,False,False,True,False,False
cell_827,True,True,True,False,True,False,True,True,True,False,True
cell_829,False,True,True,True,True,False,True,True,False,True,False
cell_835,False,True,True,True,False,False,False,True,False,False,False
cell_837,False,True,True,False,True,False,False,True,True,True,False
cell_840,True,False,False,False,True,False,False,True,False,True,True
cell_841,True,True,True,False,True,False,False,True,True,False,True
cell_842,True,True,False,False,True,True,True,True,True,False,True
cell_845,True,False,False,False,False,True,False,False,True,False,True
cell_850,False,False,True,False,True,False,True,True,False,True,False
cell_859,False,True,True,False,False,False,False,True,True,True,True
cell_870,False,True,True,False,False,False,False,True,False,True,True
cell_871,True,True,False,False,False,False,True,True,True,False,False
cell_873,True,True,False,True,True,True,False,True,False,False,True
cell_875,False,True,True,False,False,False,False,False,True,False,True
cell_877,False,False,True,False,True,False,False,True,False,False,False
cell_879,True,True,False,True,True,True,False,False,True,False,True
cell_886,True,True,False,True,True,False,True,False,True,True,False
cell_891,True,True,True,True,False,True,True,True,True,True,True
cell_897,False,True,True,False,False,False,False,False,False,False,True
cell_900,False,False,True,False,True,True,False,False,False,False,False
cell_901,True,True,False,True,True,True,True,False,False,True,False
cell_910,False,False,True,False,True,True,True,False,False,False,False
cell_912,True,True,False,True,True,False,True,True,True,True,True
cell_913,True,False,True,False,True,True,False,False,True,False,False
cell_914,True,True,False,False,True,True,True,True,False,True,False
cell_915,True,True,False,False,False,False,False,True,True,True,True
cell_918,False,True,True,True,False,False,False,False,True,False,False
cell_924,False,True,True,False,True,True,True,True,False,False,False
cell_926,False,False,True,False,False,False,False,False,True,False,False
cell_930,True,True,True,False,False,False,False,False,True,False,False
cell_934,False,False,True,False,True,True,True,False,False,False,True
cell_935,False,False,True,True,True,True,False,False,False,True,False
cell_936,False,True,True,True,True,False,False,False,True,False,False
cell_938,False,True,True,True,True,True,True,False,False,False,False
cell_939,False,True,True,False,False,True,True,True,True,True,True
cell_943,True,True,False,False,False,True,False,True,False,True,False
cell_949,False,False,True,True,False,False,False,False,True,True,False
cell_952,False,False,True,True,False,False,False,True,False,False,False
cell_962,False,False,True,False,False,False,False,False,False,True,False
cell_968,False,False,True,True,False,True,False,True,True,False,False
cell_977,False,True,True,True,True,False,True,False,True,True,False
cell_980,False,False,True,True,True,False,True,False,False,True,False
cell_983,True,False,False,False,True,True,False,True,True,False,True
cell_984,True,True,True,False,True,False,True,True,False,True,True
cell_985,False,True,True,True,False,False,True,False,False,False,False
cell_991,False,False,True,False,True,False,False,True,True,True,False
cell_995,False,False,True,False,True,True,True,False,True,False,False
cell_998,False,False,True,True,False,True,False,True,False,True,True
cell_1000,True,True,False,True,False,True,False,True,False,True,True
cell_1005,True,False,False,True,True,False,True,True,True,True,True
cell_1008,True,True,False,False,True,False,True,False,True,True,True
cell_1009,False,False,True,False,False,True,False,True,True,False,True
cell_1010,False,False,True,True,False,True,True,False,True,True,False
cell_1013,True,True,True,False,False,True,True,True,True,True,False
cell_1017,False,False,True,True,False,False,True,False,False,False,True
cell_1022,True,True,False,False,True,False,False,True,True,False,False
cell_1028,True,True,True,False,False,True,True,False,False,True,False
cell_1029,True,False,True,False,False,False,False,False,True,True,True
cell_1037,True,False,True,False,True,False,False,True,True,False,False
cell_1047,True,True,False,False,True,True,False,True,True,True,True
cell_1057,False,False,True,True,True,False,False,True,True,False,False
cell_1060,False,True,True,True,True,True,False,False,True,True,False
cell_1063,False,False,True,False,True,False,False,True,False,True,True
cell_1065,False,True,True,False,True,True,False,True,False,False,True
cell_1073,True,True,True,False,False,False,False,False,False,True,True
cell_1075,False,True,True,False,True,True,False,False,False,False,True
cell_1076,False,False,True,True,False,True,True,True,False,False,False
cell_1079,True,False,True,True,True,False,False,False,True,True,True
cell_1082,True,True,False,True,True,False,True,False,True,False,False
cell_1088,True,True,True,True,False,False,True,False,False,True,True
cell_1092,True,True,True,False,False,False,False,True,True,False,True
cell_1094,False,True,True,True,False,False,False,False,False,True,True
cell_1095,False,False,True,False,True,True,False,False,True,True,True
cell_1097,True,False,True,False,True,True,True,False,False,False,True
cell_1099,False,False,True,True,False,False,False,False,True,False,False
cell_1101,True,True,False,False,True,False,True,True,True,True,True
cell_1104,False,True,True,False,True,True,True,True,False,True,False
cell_1109,True,True,True,True,False,False,True,True,True,True,False
cell_1121,False,False,True,True,True,True,False,True,False,False,True
cell_1125,True,True,True,False,False,False,True,True,True,False,True
cell_1130,False,False,True,False,True,True,False,True,False,False,True
cell_1134,True,False,False,True,False,True,True,True,True,True,False
cell_1145,False,True,True,False,True,True,False,False,True,False,False
cell_1146,False,True,True,False,False,False,True,True,True,True,False
cell_1150,True,True,False,True,False,True,True,True,True,True,True
cell_1152,True,False,True,False,False,False,False,False,True,False,False
cell_1155,True,True,False,False,False,False,False,False,True,True,True
cell_1157,False,False,True,False,True,True,True,True,False,True,True
cell_1174,False,False,True,False,True,True,False,False,False,True,True
cell_1175,True,True,False,True,False,True,True,True,True,False,False
cell_1184,True,False,False,False,True,True,True,False,False,True,False
cell_1192,False,True,True,True,True,False,True,False,False,False,False
cell_1200,True,True,True,True,False,True,False,False,True,False,False
cell_1205,False,True,True,True,True,False,False,True,True,True,False
cell_1211,False,False,True,False,True,True,False,False,True,False,False
cell_1212,True,True,False,False,True,True,True,True,False,False,True
cell_1213,True,True,False,False,True,True,False,True,False,False,True
cell_1217,True,False,False,True,True,True,False,True,False,True,True
cell_1237,True,False,True,True,True,False,True,True,False,True,False
cell_1240,True,True,False,False,False,True,True,False,True,True,True
cell_1242,False,True,True,False,False,True,False,False,False,False,True
cell_1244,False,True,True,True,False,False,False,False,False,True,False
cell_1252,True,True,True,False,False,False,False,False,False,False,True
cell_1254,True,False,False,False,False,True,False,True,True,True,True
cell_1257,True,False,False,True,False,True,True,False,True,False,True
cell_1265,False,False,True,True,True,True,True,False,True,True,True
cell_1270,True,True,False,True,True,False,True,False,False,True,True
cell_1272,True,True,True,False,False,False,False,True,True,True,True
cell_1283,True,True,True,False,True,False,True,False,True,True,True
cell_1285,True,True,False,False,False,False,False,False,True,False,True
cell_1288,False,True,True,True,False,False,False,False,False,False,True
cell_1289,True,True,True,False,False,True,False,False,True,True,False
cell_1292,True,True,False,False,True,True,False,False,True,False,True
cell_1294,True,True,True,False,False,False,True,True,True,True,True
cell_1295,False,True,True,True,False,True,True,False,True,False,True
cell_1297,True,True,False,False,True,False,True,True,False,False,True
cell_1306,True,True,False,False,True,False,False,False,False,False,False
cell_1314,False,False,True,False,True,False,True,True,False,False,True
cell_1315,True,True,True,True,False,True,False,True,False,True,False
cell_1316,True,True,False,False,False,True,True,True,False,False,False
cell_1329,False,True,True,False,True,False,False,False,True,False,False
cell_1337,True,True,False,True,False,True,False,False,True,False,False
cell_1341,True,True,False,False,False,False,True,True,True,False,True
cell_1342,True,False,False,True,True,True,True,True,True,True,False
cell_1351,False,True,True,False,False,True,False,True,True,True,False
cell_1355,False,True,True,True,True,True,False,True,True,False,True
cell_1356,False,False,True,False,True,False,False,False,False,True,False
cell_1371,True,True,True,False,True,True,False,True,False,True,False
cell_1372,True,False,False,True,False,True,True,True,True,False,True
cell_1386,False,True,True,True,True,True,True,False,True,False,True
cell_1387,True,True,False,True,True,True,True,True,False,True,True
cell_1393,True,True,True,False,False,False,False,True,False,True,True
cell_1394,True,True,True,False,True,False,False,True,False,False,False
cell_1395,False,True,True,False,False,True,True,False,True,False,True
cell_1399,False,False,True,True,True,False,False,True,False,False,False
cell_1417,True,False,True,False,False,True,True,False,True,True,True
cell_1431,False,True,True,True,False,True,False,True,True,False,False
cell_1432,True,False,True,False,True,False,False,False,False,True,True
cell_1438,False,True,True,False,True,False,True,False,False,True,False
cell_1441,True,True,True,False,True,False,False,True,False,True,True
cell_1459,False,True,True,True,True,False,False,False,True,True,False
cell_1464,True,True,False,False,False,False,False,True,False,False,False
cell_1470,True,True,False,True,False,True,False,True,True,True,False
cell_1474,True,True,False,False,False,True,False,False,True,True,False
cell_1476,True,True,False,False,True,True,True,True,False,False,False
cell_1479,True,False,True,False,False,True,True,False,True,True,False
cell_1490,True,True,True,False,False,True,True,False,False,False,False
cell_1491,False,True,True,False,True,True,True,True,False,False,True
cell_1492,False,False,True,True,False,False,False,True,False,True,False
cell_1493,False,False,True,True,True,False,False,True,False,False,True
cell_1496,True,True,False,False,False,True,True,True,True,True,True
cell_1502,True,True,False,True,True,False,True,True,False,True,True
cell_1503,True,False,False,False,False,False,True,False,False,True,True
cell_1508,True,False,True,False,False,False,True,True,True,True,False
cell_1512,False,False,True,False,True,False,False,False,True,True,False
cell_1517,False,True,True,False,False,True,True,False,False,True,False
cell_1536,True,True,True,False,False,False,True,False,True,False,True
cell_1540,False,True,True,False,True,True,True,False,False,True,True
cell_1544,False,False,True,True,False,False,True,True,True,True,True
cell_1549,False,False,True,True,False,False,True,True,True,False,False
cell_1568,False,True,True,False,False,False,True,False,False,True,True
cell_1569,True,False,False,False,False,False,True,True,True,True,True
cell_1570,False,False,True,True,True,True,True,True,True,False,False
cell_1574,False,True,True,True,True,False,True,True,True,False,False
cell_1577,True,True,False,False,True,True,False,True,False,True,True
cell_1578,False,False,True,True,True,False,False,True,False,True,False
cell_1581,True,False,True,True,False,False,True,False,True,True,False
cell_1585,True,True,False,False,False,False,True,False,False,False,True
cell_1594,True,True,False,False,True,False,False,False,True,True,True
cell_1595,False,True,True,True,False,True,True,False,False,False,False
cell_1597,True,True,False,False,True,True,True,True,True,True,False
cell_1600,True,True,True,False,True,True,False,True,False,False,True
cell_1606,False,False,True,True,True,False,False,True,True,True,False
cell_1607,False,True,True,True,True,False,True,True,True,True,True
cell_1609,True,False,True,False,True,True,True,True,False,True,False
cell_1620,True,True,False,False,False,True,True,True,False,True,True
cell_1631,True,True,False,False,False,True,False,False,True,False,True
cell_1633,False,True,True,False,False,False,False,False,False,True,False
cell_1635,False,False,True,False,False,True,False,False,True,False,False
cell_1637,True,True,False,False,True,True,True,False,True,True,False
cell_1650,False,False,True,True,False,True,False,True,False,True,False
cell_1652,False,True,True,False,False,False,True,False,False,False,False
cell_1657,True,True,False,True,False,False,True,True,False,False,False
cell_1658,True,True,False,True,True,False,False,False,True,True,False
cell_1660,True,True,False,True,False,True,False,False,True,False,True
cell_1663,False,True,True,True,False,True,False,False,False,True,False
cell_1669,False,True,True,True,False,True,True,False,True,True,True
cell_1672,True,False,False,False,True,False,True,False,False,False,True
cell_1682,True,False,True,False,False,False,False,True,True,True,True
cell_1688,False,True,True,True,False,False,True,True,False,False,True
cell_1690,False,True,True,False,False,False,True,True,False,False,False
cell_1700,False,True,True,False,False,False,False,False,True,True,True
cell_1702,True,True,True,False,True,False,True,False,False,True,False
cell_1705,False,False,True,False,True,True,True,True,True,False,False
cell_1707,False,False,True,False,False,False,False,True,False,False,False
cell_1710,True,False,False,False,False,True,True,False,False,True,True
cell_1714,False,False,True,True,True,True,False,False,False,True,True
cell_1718,True,True,True,False,False,False,True,False,True,True,False
cell_1720,False,True,True,False,True,False,True,False,True,True,True
cell_1721,True,True,True,True,True,True,False,True,False,False,True
cell_1737,True,False,True,False,True,True,False,True,False,False,True
cell_1738,True,True,True,False,True,True,True,False,True,True,True
cell_1746,False,True,True,False,True,False,True,False,False,True,True
cell_1762,True,True,False,True,False,False,False,True,False,False,True
cell_1765,True,True,True,False,True,True,False,False,True,True,False
cell_1766,False,True,True,False,True,True,True,False,True,True,False
cell_1786,True,False,False,False,True,True,True,True,True,True,True
cell_1799,True,False,True,False,False,False,True,True,False,False,True
cell_1806,True,False,True,True,False,False,False,False,True,False,False
cell_1809,True,False,False,False,True,False,False,False,True,True,True
cell_1810,False,False,True,True,True,True,True,False,True,False,True
cell_1817,True,False,False,False,False,True,True,True,False,False,False
cell_1819,False,False,True,True,True,True,False,True,False,False,False
cell_1825,True,True,True,False,False,False,True,True,False,True,False
cell_1826,False,False,True,False,False,False,False,False,False,False,True
cell_1827,True,True,False,True,True,False,False,False,True,True,True
cell_1832,True,True,False,True,False,True,True,False,False,False,True
cell_1840,True,False,False,False,False,False,False,False,True,True,False
cell_1843,True,True,True,False,True,True,True,True,False,False,True
cell_1858,True,True,False,False,True,True,True,False,True,False,False
cell_1862,False,False,True,False,True,True,True,False,False,True,False
cell_1865,False,True,True,True,False,False,True,False,False,True,False
cell_1866,False,False,True,True,False,False,False,False,False,False,True
cell_1871,True,True,False,True,False,True,False,True,False,False,True
cell_1891,True,False,True,True,False,False,False,True,False,True,True
cell_1899,True,True,False,False,False,False,True,False,True,False,True
cell_1905,False,False,True,True,True,True,True,True,False,False,True
cell_1917,True,True,False,False,False,True,True,False,False,False,True
cell_1930,True,False,False,True,True,True,True,False,True,False,True
cell_1945,True,True,False,True,True,True,False,True,True,True,False
cell_1946,True,True,False,True,False,True,False,True,True,False,False
cell_1948,True,True,True,True,True,False,False,False,True,False,True
cell_1951,True,True,False,False,True,False,True,False,False,False,True
cell_1964,False,False,True,False,True,False,False,True,True,True,True
cell_1966,True,True,True,False,True,True,True,True,False,True,True
cell_1972,True,True,True,False,False,True,True,True,True,False,False
cell_1975,False,True,True,True,True,False,True,False,True,False,True
cell_1986,True,True,False,True,True,True,True,False,False,True,True
cell_1990,True,False,False,False,True,True,True,True,False,True,True
cell_1992,False,True,True,False,False,False,False,True,True,False,True
cell_1993,True,True,False,False,True,False,False,True,False,True,False
cell_1994,True,False,True,False,False,True,True,False,False,True,False
