Gene,StateA,StateB
s,cell_48,cell_267
R3,cell_48,cell_637
S,cell_48,cell_750
R2,cell_48,cell_794
T,cell_48,cell_1129
z,cell_48,cell_1248
E,cell_48,cell_2344
z,cell_50,cell_37
Z,cell_50,cell_38
s,cell_50,cell_46
N,cell_50,cell_48
S,cell_50,cell_164
R3,cell_50,cell_223
E,cell_50,cell_676
R2,cell_50,cell_908
T,cell_50,cell_1525
S,cell_51,cell_158
z,cell_51,cell_209
N,cell_51,cell_217
Z,cell_51,cell_355
T,cell_51,cell_430
E,cell_51,cell_830
R2,cell_51,cell_1422
R3,cell_51,cell_1494
s,cell_51,cell_1968
R2,cell_52,cell_4
E,cell_52,cell_54
N,cell_52,cell_57
T,cell_52,cell_98
z,cell_52,cell_243
s,cell_52,cell_300
R3,cell_52,cell_768
Z,cell_52,cell_769
S,cell_52,cell_823
E,cell_54,cell_52
R3,cell_54,cell_125
S,cell_54,cell_260
z,cell_54,cell_273
R2,cell_54,cell_275
T,cell_54,cell_436
Z,cell_54,cell_708
N,cell_54,cell_880
s,cell_54,cell_980
Z,cell_55,cell_19
R3,cell_55,cell_56
z,cell_55,cell_58
R2,cell_55,cell_210
T,cell_55,cell_238
N,cell_55,cell_981
E,cell_55,cell_1622
s,cell_55,cell_1734
S,cell_55,cell_1898
R3,cell_56,cell_55
z,cell_56,cell_117
T,cell_56,cell_237
S,cell_56,cell_328
R2,cell_56,cell_710
Z,cell_56,cell_714
E,cell_56,cell_722
s,cell_56,cell_880
N,cell_56,cell_980
N,cell_57,cell_52
T,cell_57,cell_247
S,cell_57,cell_338
s,cell_57,cell_722
R3,cell_57,cell_724
E,cell_57,cell_880
z,cell_57,cell_1105
R2,cell_57,cell_1112
Z,cell_57,cell_1749
z,cell_58,cell_55
E,cell_58,cell_59
R3,cell_58,cell_117
Z,cell_58,cell_290
T,cell_58,cell_332
R2,cell_58,cell_543
s,cell_58,cell_845
S,cell_58,cell_1157
N,cell_58,cell_1834
s,cell_59,cell_43
E,cell_59,cell_58
T,cell_59,cell_395
N,cell_59,cell_454
R2,cell_59,cell_645
Z,cell_59,cell_718
S,cell_59,cell_1107
z,cell_59,cell_1622
R3,cell_59,cell_1860
S,cell_61,cell_10
z,cell_61,cell_408
R2,cell_61,cell_411
E,cell_61,cell_494
T,cell_61,cell_738
R3,cell_61,cell_852
N,cell_61,cell_858
s,cell_61,cell_1183
Z,cell_61,cell_3214
R3,cell_62,cell_45
s,cell_62,cell_47
T,cell_62,cell_63
S,cell_62,cell_169
Z,cell_62,cell_267
N,cell_62,cell_681
E,cell_62,cell_809
z,cell_62,cell_849
R2,cell_62,cell_1334
T,cell_63,cell_62
N,cell_63,cell_64
S,cell_63,cell_91
R3,cell_63,cell_269
s,cell_63,cell_294
R2,cell_63,cell_398
E,cell_63,cell_603
Z,cell_63,cell_728
z,cell_63,cell_739
N,cell_64,cell_63
s,cell_64,cell_192
R3,cell_64,cell_193
R2,cell_64,cell_399
E,cell_64,cell_424
Z,cell_64,cell_578
T,cell_64,cell_681
z,cell_64,cell_733
S,cell_64,cell_1049
S,cell_65,cell_247
T,cell_65,cell_338
N,cell_65,cell_340
s,cell_65,cell_342
Z,cell_65,cell_364
R3,cell_65,cell_367
z,cell_65,cell_398
R2,cell_65,cell_739
E,cell_65,cell_1346
Z,cell_68,cell_193
E,cell_68,cell_386
R3,cell_68,cell_578
s,cell_68,cell_583
S,cell_68,cell_585
N,cell_68,cell_761
R2,cell_68,cell_763
z,cell_68,cell_1095
T,cell_68,cell_1354
N,cell_69,cell_81
S,cell_69,cell_94
Z,cell_69,cell_399
E,cell_69,cell_415
R2,cell_69,cell_578
R3,cell_69,cell_763
s,cell_69,cell_790
T,cell_69,cell_904
z,cell_69,cell_1328
s,cell_71,cell_73
N,cell_71,cell_115
Z,cell_71,cell_124
S,cell_71,cell_128
R2,cell_71,cell_233
T,cell_71,cell_883
z,cell_71,cell_913
R3,cell_71,cell_1874
E,cell_71,cell_4068
z,cell_72,cell_73
R3,cell_72,cell_74
E,cell_72,cell_94
R2,cell_72,cell_205
S,cell_72,cell_415
Z,cell_72,cell_420
N,cell_72,cell_874
s,cell_72,cell_913
T,cell_72,cell_1420
s,cell_73,cell_71
z,cell_73,cell_72
N,cell_73,cell_142
R3,cell_73,cell_147
S,cell_73,cell_259
R2,cell_73,cell_419
Z,cell_73,cell_436
T,cell_73,cell_708
E,cell_73,cell_1258
R3,cell_74,cell_72
z,cell_74,cell_147
N,cell_74,cell_173
R2,cell_74,cell_206
Z,cell_74,cell_305
s,cell_74,cell_312
S,cell_74,cell_387
E,cell_74,cell_653
T,cell_74,cell_1133
N,cell_75,cell_76
S,cell_75,cell_139
T,cell_75,cell_140
R2,cell_75,cell_204
Z,cell_75,cell_384
z,cell_75,cell_386
s,cell_75,cell_951
R3,cell_75,cell_995
E,cell_75,cell_1095
N,cell_76,cell_75
R2,cell_76,cell_181
s,cell_76,cell_254
T,cell_76,cell_494
z,cell_76,cell_506
Z,cell_76,cell_599
E,cell_76,cell_738
R3,cell_76,cell_1267
S,cell_76,cell_1315
Z,cell_77,cell_78
E,cell_77,cell_82
N,cell_77,cell_89
z,cell_77,cell_255
S,cell_77,cell_283
R2,cell_77,cell_604
R3,cell_77,cell_1464
s,cell_77,cell_1576
T,cell_77,cell_3080
R3,cell_78,cell_32
Z,cell_78,cell_77
z,cell_78,cell_79
N,cell_78,cell_90
S,cell_78,cell_332
E,cell_78,cell_836
T,cell_78,cell_1157
R2,cell_78,cell_1584
s,cell_78,cell_1996
z,cell_79,cell_78
R3,cell_79,cell_121
R2,cell_79,cell_152
E,cell_79,cell_191
S,cell_79,cell_238
Z,cell_79,cell_255
N,cell_79,cell_573
s,cell_79,cell_841
T,cell_79,cell_1898
N,cell_81,cell_69
z,cell_81,cell_364
Z,cell_81,cell_398
E,cell_81,cell_668
R2,cell_81,cell_728
s,cell_81,cell_792
T,cell_81,cell_826
R3,cell_81,cell_838
S,cell_81,cell_2334
S,cell_82,cell_23
E,cell_82,cell_77
N,cell_82,cell_83
z,cell_82,cell_190
T,cell_82,cell_638
R3,cell_82,cell_792
Z,cell_82,cell_836
s,cell_82,cell_838
R2,cell_82,cell_3907
N,cell_83,cell_82
E,cell_83,cell_89
z,cell_83,cell_187
R2,cell_83,cell_583
s,cell_83,cell_763
R3,cell_83,cell_790
T,cell_83,cell_1162
Z,cell_83,cell_1524
S,cell_83,cell_3096
N,cell_89,cell_77
E,cell_89,cell_83
Z,cell_89,cell_90
S,cell_89,cell_312
T,cell_89,cell_345
R2,cell_89,cell_385
s,cell_89,cell_387
z,cell_89,cell_471
R3,cell_89,cell_2053
N,cell_90,cell_78
Z,cell_90,cell_89
R3,cell_90,cell_257
s,cell_90,cell_306
S,cell_90,cell_311
z,cell_90,cell_573
T,cell_90,cell_1001
R2,cell_90,cell_1010
E,cell_90,cell_1524
S,cell_91,cell_63
T,cell_91,cell_169
z,cell_91,cell_248
Z,cell_91,cell_251
R2,cell_91,cell_370
R3,cell_91,cell_687
s,cell_91,cell_705
N,cell_91,cell_1049
E,cell_91,cell_1318
Z,cell_92,cell_94
z,cell_92,cell_98
T,cell_92,cell_243
N,cell_92,cell_370
R3,cell_92,cell_394
S,cell_92,cell_399
E,cell_92,cell_420
s,cell_92,cell_831
R2,cell_92,cell_1049
R2,cell_93,cell_94
T,cell_93,cell_163
E,cell_93,cell_205
N,cell_93,cell_251
z,cell_93,cell_315
S,cell_93,cell_578
R3,cell_93,cell_585
Z,cell_93,cell_1049
s,cell_93,cell_2681
S,cell_94,cell_69
E,cell_94,cell_72
Z,cell_94,cell_92
R2,cell_94,cell_93
T,cell_94,cell_162
R3,cell_94,cell_653
z,cell_94,cell_1258
N,cell_94,cell_2334
s,cell_94,cell_3094
R3,cell_97,cell_98
E,cell_97,cell_126
N,cell_97,cell_366
z,cell_97,cell_394
Z,cell_97,cell_766
T,cell_97,cell_768
R2,cell_97,cell_878
S,cell_97,cell_924
s,cell_97,cell_1988
T,cell_98,cell_52
z,cell_98,cell_92
R3,cell_98,cell_97
N,cell_98,cell_247
S,cell_98,cell_340
E,cell_98,cell_436
Z,cell_98,cell_1258
R2,cell_98,cell_1678
s,cell_98,cell_1780
N,cell_101,cell_163
Z,cell_101,cell_169
z,cell_101,cell_230
T,cell_101,cell_251
S,cell_101,cell_267
E,cell_101,cell_622
s,cell_101,cell_750
R3,cell_101,cell_1100
R2,cell_101,cell_1751
Z,cell_102,cell_1
T,cell_102,cell_26
R3,cell_102,cell_110
s,cell_102,cell_230
R2,cell_102,cell_448
E,cell_102,cell_712
z,cell_102,cell_750
S,cell_102,cell_1248
N,cell_102,cell_2744
T,cell_103,cell_106
N,cell_103,cell_166
z,cell_103,cell_448
E,cell_103,cell_614
R3,cell_103,cell_718
R2,cell_103,cell_750
S,cell_103,cell_794
s,cell_103,cell_1751
Z,cell_103,cell_1860
Z,cell_105,cell_106
s,cell_105,cell_370
R3,cell_105,cell_395
E,cell_105,cell_662
z,cell_105,cell_701
R2,cell_105,cell_705
N,cell_105,cell_831
S,cell_105,cell_1128
T,cell_105,cell_1860
R3,cell_106,cell_23
z,cell_106,cell_24
T,cell_106,cell_103
Z,cell_106,cell_105
R2,cell_106,cell_323
E,cell_106,cell_666
S,cell_106,cell_792
s,cell_106,cell_2334
N,cell_106,cell_3094
T,cell_107,cell_1
Z,cell_107,cell_26
N,cell_107,cell_245
s,cell_107,cell_248
S,cell_107,cell_295
E,cell_107,cell_544
R2,cell_107,cell_701
z,cell_107,cell_705
R3,cell_107,cell_1552
R3,cell_109,cell_1
s,cell_109,cell_8
Z,cell_109,cell_110
E,cell_109,cell_210
z,cell_109,cell_645
T,cell_109,cell_1552
R2,cell_109,cell_1622
S,cell_109,cell_1809
N,cell_109,cell_5637
s,cell_110,cell_10
R3,cell_110,cell_102
Z,cell_110,cell_109
E,cell_110,cell_241
z,cell_110,cell_263
T,cell_110,cell_317
R2,cell_110,cell_497
S,cell_110,cell_1183
N,cell_110,cell_1845
R3,cell_112,cell_18
Z,cell_112,cell_217
N,cell_112,cell_355
R2,cell_112,cell_614
s,cell_112,cell_622
z,cell_112,cell_712
E,cell_112,cell_750
T,cell_112,cell_2144
S,cell_112,cell_2344
s,cell_114,cell_116
S,cell_114,cell_142
R3,cell_114,cell_181
T,cell_114,cell_213
N,cell_114,cell_259
E,cell_114,cell_364
z,cell_114,cell_668
R2,cell_114,cell_1267
Z,cell_114,cell_1346
E,cell_115,cell_24
N,cell_115,cell_71
S,cell_115,cell_116
s,cell_115,cell_142
R3,cell_115,cell_150
R2,cell_115,cell_235
Z,cell_115,cell_237
z,cell_115,cell_666
T,cell_115,cell_714
E,cell_116,cell_21
R2,cell_116,cell_31
s,cell_116,cell_114
S,cell_116,cell_115
Z,cell_116,cell_121
N,cell_116,cell_128
R3,cell_116,cell_255
T,cell_116,cell_256
z,cell_116,cell_1464
z,cell_117,cell_56
R3,cell_117,cell_58
R2,cell_117,cell_217
S,cell_117,cell_326
Z,cell_117,cell_614
T,cell_117,cell_662
s,cell_117,cell_1219
N,cell_117,cell_1422
E,cell_117,cell_1860
z,cell_118,cell_256
Z,cell_118,cell_326
N,cell_118,cell_484
s,cell_118,cell_486
S,cell_118,cell_614
E,cell_118,cell_794
T,cell_118,cell_1464
R2,cell_118,cell_2344
R3,cell_118,cell_3080
z,cell_121,cell_32
R3,cell_121,cell_79
Z,cell_121,cell_116
S,cell_121,cell_237
N,cell_121,cell_258
T,cell_121,cell_328
E,cell_121,cell_342
R2,cell_121,cell_600
s,cell_121,cell_1346
R3,cell_122,cell_123
R2,cell_122,cell_126
z,cell_122,cell_134
Z,cell_122,cell_139
T,cell_122,cell_360
S,cell_122,cell_384
N,cell_122,cell_464
s,cell_122,cell_571
E,cell_122,cell_878
R3,cell_123,cell_122
T,cell_123,cell_275
Z,cell_123,cell_419
S,cell_123,cell_423
z,cell_123,cell_433
R2,cell_123,cell_436
N,cell_123,cell_463
s,cell_123,cell_540
E,cell_123,cell_1678
Z,cell_124,cell_71
N,cell_124,cell_237
S,cell_124,cell_258
s,cell_124,cell_436
R2,cell_124,cell_540
R3,cell_124,cell_589
T,cell_124,cell_980
E,cell_124,cell_1780
z,cell_124,cell_2146
R3,cell_125,cell_54
T,cell_125,cell_126
R2,cell_125,cell_360
E,cell_125,cell_768
s,cell_125,cell_981
Z,cell_125,cell_998
z,cell_125,cell_1594
S,cell_125,cell_1702
N,cell_125,cell_1734
E,cell_126,cell_97
R2,cell_126,cell_122
T,cell_126,cell_125
N,cell_126,cell_145
Z,cell_126,cell_147
z,cell_126,cell_305
R3,cell_126,cell_436
S,cell_126,cell_586
s,cell_126,cell_589
T,cell_128,cell_39
S,cell_128,cell_71
N,cell_128,cell_116
Z,cell_128,cell_258
s,cell_128,cell_259
R3,cell_128,cell_471
R2,cell_128,cell_1278
z,cell_128,cell_2053
E,cell_128,cell_5187
N,cell_132,cell_11
z,cell_132,cell_133
T,cell_132,cell_206
Z,cell_132,cell_218
S,cell_132,cell_221
E,cell_132,cell_225
R3,cell_132,cell_277
s,cell_132,cell_357
R2,cell_132,cell_1133
z,cell_133,cell_132
T,cell_133,cell_139
S,cell_133,cell_140
E,cell_133,cell_224
R3,cell_133,cell_278
Z,cell_133,cell_360
s,cell_133,cell_537
R2,cell_133,cell_998
N,cell_133,cell_3112
z,cell_134,cell_122
Z,cell_134,cell_206
T,cell_134,cell_218
R2,cell_134,cell_305
E,cell_134,cell_383
R3,cell_134,cell_433
N,cell_134,cell_848
s,cell_134,cell_887
S,cell_134,cell_1204
S,cell_139,cell_75
Z,cell_139,cell_122
T,cell_139,cell_133
R2,cell_139,cell_147
z,cell_139,cell_206
s,cell_139,cell_207
E,cell_139,cell_314
R3,cell_139,cell_419
N,cell_139,cell_1315
T,cell_140,cell_75
S,cell_140,cell_133
z,cell_140,cell_221
s,cell_140,cell_344
N,cell_140,cell_494
R2,cell_140,cell_505
R3,cell_140,cell_675
E,cell_140,cell_858
Z,cell_140,cell_1211
N,cell_142,cell_73
S,cell_142,cell_114
s,cell_142,cell_115
Z,cell_142,cell_143
R3,cell_142,cell_284
E,cell_142,cell_365
T,cell_142,cell_607
z,cell_142,cell_874
R2,cell_142,cell_1777
Z,cell_143,cell_142
R3,cell_143,cell_145
s,cell_143,cell_237
E,cell_143,cell_247
N,cell_143,cell_436
R2,cell_143,cell_463
T,cell_143,cell_880
S,cell_143,cell_1346
z,cell_143,cell_2047
N,cell_145,cell_126
R3,cell_145,cell_143
z,cell_145,cell_178
s,cell_145,cell_238
Z,cell_145,cell_284
E,cell_145,cell_366
R2,cell_145,cell_464
S,cell_145,cell_841
T,cell_145,cell_1734
R3,cell_147,cell_73
z,cell_147,cell_74
Z,cell_147,cell_126
R2,cell_147,cell_139
S,cell_147,cell_204
N,cell_147,cell_284
E,cell_147,cell_766
T,cell_147,cell_998
s,cell_147,cell_1874
T,cell_150,cell_19
E,cell_150,cell_27
R3,cell_150,cell_115
Z,cell_150,cell_238
R2,cell_150,cell_242
S,cell_150,cell_255
z,cell_150,cell_283
s,cell_150,cell_284
N,cell_150,cell_1874
R2,cell_152,cell_79
Z,cell_152,cell_254
E,cell_152,cell_270
N,cell_152,cell_572
S,cell_152,cell_588
s,cell_152,cell_599
R3,cell_152,cell_600
z,cell_152,cell_1584
T,cell_152,cell_1896
E,cell_154,cell_47
N,cell_154,cell_158
T,cell_154,cell_159
S,cell_154,cell_217
R2,cell_154,cell_326
R3,cell_154,cell_443
s,cell_154,cell_809
z,cell_154,cell_2203
Z,cell_154,cell_2344
R3,cell_157,cell_158
s,cell_157,cell_324
Z,cell_157,cell_348
N,cell_157,cell_443
z,cell_157,cell_619
R2,cell_157,cell_1001
T,cell_157,cell_1010
S,cell_157,cell_1494
E,cell_157,cell_1658
E,cell_158,cell_38
S,cell_158,cell_51
N,cell_158,cell_154
R3,cell_158,cell_157
T,cell_158,cell_160
z,cell_158,cell_262
R2,cell_158,cell_325
s,cell_158,cell_669
Z,cell_158,cell_676
R2,cell_159,cell_32
T,cell_159,cell_154
N,cell_159,cell_160
S,cell_159,cell_212
E,cell_159,cell_294
z,cell_159,cell_600
s,cell_159,cell_603
Z,cell_159,cell_1395
R3,cell_159,cell_1584
T,cell_160,cell_158
N,cell_160,cell_159
E,cell_160,cell_192
Z,cell_160,cell_203
R2,cell_160,cell_257
s,cell_160,cell_424
S,cell_160,cell_430
z,cell_160,cell_568
R3,cell_160,cell_1010
T,cell_162,cell_94
R2,cell_162,cell_163
s,cell_162,cell_166
Z,cell_162,cell_243
z,cell_162,cell_769
S,cell_162,cell_904
E,cell_162,cell_1420
N,cell_162,cell_1751
R3,cell_162,cell_2793
S,cell_163,cell_46
T,cell_163,cell_93
N,cell_163,cell_101
R2,cell_163,cell_162
s,cell_163,cell_164
R3,cell_163,cell_225
E,cell_163,cell_277
Z,cell_163,cell_682
z,cell_163,cell_1254
S,cell_164,cell_50
s,cell_164,cell_163
R2,cell_164,cell_166
E,cell_164,cell_355
N,cell_164,cell_750
Z,cell_164,cell_830
R3,cell_164,cell_1515
T,cell_164,cell_2681
z,cell_164,cell_2744
Z,cell_166,cell_0
N,cell_166,cell_103
s,cell_166,cell_162
R2,cell_166,cell_164
E,cell_166,cell_475
z,cell_166,cell_771
S,cell_166,cell_908
R3,cell_166,cell_2794
T,cell_166,cell_3094
S,cell_169,cell_62
T,cell_169,cell_91
Z,cell_169,cell_101
R3,cell_169,cell_264
N,cell_169,cell_682
E,cell_169,cell_689
R2,cell_169,cell_1105
z,cell_169,cell_1112
s,cell_169,cell_1453
T,cell_173,cell_14
N,cell_173,cell_74
Z,cell_173,cell_178
s,cell_173,cell_283
z,cell_173,cell_284
R2,cell_173,cell_507
R3,cell_173,cell_874
S,cell_173,cell_1576
E,cell_173,cell_1758
z,cell_178,cell_145
Z,cell_178,cell_173
N,cell_178,cell_305
s,cell_178,cell_332
E,cell_178,cell_755
T,cell_178,cell_845
R2,cell_178,cell_848
S,cell_178,cell_1996
R3,cell_178,cell_2047
E,cell_181,cell_22
R2,cell_181,cell_76
R3,cell_181,cell_114
N,cell_181,cell_204
s,cell_181,cell_255
S,cell_181,cell_284
Z,cell_181,cell_841
z,cell_181,cell_1576
T,cell_181,cell_2484
Z,cell_183,cell_187
N,cell_183,cell_191
R2,cell_183,cell_271
R3,cell_183,cell_298
E,cell_183,cell_573
s,cell_183,cell_924
T,cell_183,cell_1070
z,cell_183,cell_1524
S,cell_183,cell_1988
Z,cell_184,cell_36
z,cell_184,cell_192
S,cell_184,cell_245
R3,cell_184,cell_271
N,cell_184,cell_295
R2,cell_184,cell_298
E,cell_184,cell_568
T,cell_184,cell_678
s,cell_184,cell_733
R3,cell_185,cell_36
R2,cell_185,cell_187
Z,cell_185,cell_271
S,cell_185,cell_318
z,cell_185,cell_583
N,cell_185,cell_930
E,cell_185,cell_951
T,cell_185,cell_970
s,cell_185,cell_1095
z,cell_187,cell_83
Z,cell_187,cell_183
R2,cell_187,cell_185
N,cell_187,cell_190
E,cell_187,cell_471
s,cell_187,cell_576
T,cell_187,cell_1063
S,cell_187,cell_3458
R3,cell_187,cell_5187
R3,cell_190,cell_21
s,cell_190,cell_22
S,cell_190,cell_27
z,cell_190,cell_82
N,cell_190,cell_187
Z,cell_190,cell_191
E,cell_190,cell_255
T,cell_190,cell_495
R2,cell_190,cell_930
E,cell_191,cell_79
N,cell_191,cell_183
Z,cell_191,cell_190
R2,cell_191,cell_270
R3,cell_191,cell_342
s,cell_191,cell_367
T,cell_191,cell_412
S,cell_191,cell_499
z,cell_191,cell_836
R2,cell_192,cell_34
T,cell_192,cell_38
s,cell_192,cell_64
E,cell_192,cell_160
z,cell_192,cell_184
R3,cell_192,cell_194
N,cell_192,cell_294
Z,cell_192,cell_1525
S,cell_192,cell_2409
R3,cell_193,cell_64
Z,cell_193,cell_68
s,cell_193,cell_194
N,cell_193,cell_269
S,cell_193,cell_383
T,cell_193,cell_686
z,cell_193,cell_731
R2,cell_193,cell_807
